,Open,High,Low,Close,Volume,Dividends,Stock Splits
,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO
Date,,,,,,,
2012-01-03,22.605993517261567,23.13510300986742,22.15356679298444,22.19957733154297,2303200,0.0,0
2012-01-04,22.15356584273415,22.306931372813178,21.54777507038638,21.816164016723633,2025400,0.0,0
2012-01-05,21.823836537979165,22.046216466999823,21.609126496279178,21.84684181213379,2007500,0.0,0
2012-01-06,21.78550123912274,21.89285628639636,21.486439914516044,21.708818435668945,2435700,0.0,0
2012-01-09,22.467964029664945,23.303803103329404,22.42962337816192,23.173442840576172,3348500,0.0,0
2012-01-10,23.403498668668426,23.871260910460496,23.296142177228752,23.503185272216797,2682900,0.0,0
2012-01-11,23.533859191517923,24.270010474829046,23.457176400522368,23.92494010925293,2710300,0.0,0
2012-01-12,23.924937024815826,24.48471884049111,23.6335427491202,24.293012619018555,1987300,0.0,0
2012-01-13,24.170323277174152,24.538398909796488,23.93260648466166,24.208663940429688,2427500,0.0,0
2012-01-17,24.30834447909952,24.73776445493959,24.13197367996251,24.270002365112305,3178200,0.0,0
2012-01-18,25.30522468556564,26.838874666509014,25.136522251596208,26.026039123535156,4427400,0.0,0
2012-01-19,25.98002719515948,26.340432891875295,25.765314244234307,25.780651092529297,3154600,0.0,0
2012-01-20,25.696313074076127,26.102732449412063,25.565954184489687,25.926362991333008,2346200,0.0,0
2012-01-23,25.957018827726383,25.995362408654863,25.519928917023375,25.811323165893555,2012400,0.0,0
2012-01-24,25.757644883197187,26.256082168135254,25.757644883197187,25.972354888916016,3077800,0.0,0
2012-01-25,26.493796565655593,26.493796565655593,25.84199664809363,26.033702850341797,3035200,0.0,0
2012-01-26,26.041375046954457,26.401783715706532,25.949356870432364,26.13339614868164,2553700,0.0,0
2012-01-27,25.949358072465163,26.440125603589905,25.91868437046856,26.056713104248047,2946800,0.0,0
2012-01-30,25.765315529527438,26.07971362224662,25.573609304083917,25.86500358581543,1659000,0.0,0
2012-01-31,26.072049676037327,26.133397079373555,25.58894911298271,26.026039123535156,1622500,0.0,0
