,Open,High,Low,Close,Volume,Dividends,Stock Splits
,BLK,BLK,BLK,BLK,BLK,BLK,BLK
Date,,,,,,,
2012-01-03,141.2989967906509,143.07630419341461,139.16008553745863,139.4678497314453,654300,0.0,0
2012-01-04,138.1445222333076,139.1601149380205,136.67497871405797,138.45997619628906,481600,0.0,0
2012-01-05,138.10601510086602,138.42915868561641,134.7822323891423,137.9752197265625,812200,0.0,0
2012-01-06,138.24450678887487,139.22163903187828,136.57492565114677,137.82135009765625,413100,0.0,0
2012-01-09,137.95219881344468,138.38305711363037,136.41341246134826,137.91372680664062,632100,0.0,0
2012-01-10,140.3526417462129,141.26053141050863,139.2601053122322,140.86813354492188,540600,0.0,0
2012-01-11,140.0526269891559,141.64527636336774,137.7521373619634,141.4683074951172,534800,0.0,0
2012-01-12,143.80723369729233,144.0072716303725,140.22954957025215,143.92263793945312,632600,0.0,0
2012-01-13,142.90702633115689,143.81490422176375,141.87603103198958,143.54562377929688,911900,0.0,0
2012-01-17,145.12290996852963,146.49242862656746,143.81494416186504,144.2304229736328,1336800,0.0,0
2012-01-18,144.26119938630094,145.22294071554296,142.80704696608728,144.4920196533203,720800,0.0,0
2012-01-19,143.8764641754066,144.49198080864966,139.29857902691705,144.29193115234375,919300,0.0,0
2012-01-20,142.14532289172152,143.56100285691258,139.12930445892212,140.660400390625,1275000,0.0,0
2012-01-23,140.02185787655566,142.8840012168693,139.744875884267,142.76858520507812,708500,0.0,0
2012-01-24,141.74522050527295,145.60757532826133,141.74522050527295,145.4306182861328,633900,0.0,0
2012-01-25,144.6766631463176,145.26909907870217,143.35331790853309,144.83055114746094,638000,0.0,0
2012-01-26,146.0307864553054,147.4772372398667,143.4148433419408,144.5381622314453,719300,0.0,0
2012-01-27,143.10710963190175,145.4537608206412,142.78396595443695,144.25350952148438,506600,0.0,0
2012-01-30,142.86085468999855,143.1070660301981,140.65270103009695,140.96815490722656,597600,0.0,0
2012-01-31,141.88378116205988,142.24539685003705,138.80620883204614,140.029541015625,758400,0.0,0
2012-02-01,142.70699557414292,142.70699557414292,139.3447522691367,140.7989044189453,1086800,0.0,0
2012-02-02,140.78349998023245,141.89142755928387,140.29879046939985,141.39132690429688,1007400,0.0,0
2012-02-03,142.53772340631605,145.1767471392095,142.0991755612603,145.13827514648438,1331900,0.0,0
2012-02-06,141.5760416698345,146.33858756267918,141.5760416698345,146.3231964111328,734900,0.0,0
2012-02-07,145.3998792071576,146.17697361524327,144.12269580793665,145.77688598632812,417600,0.0,0
2012-02-08,146.0076783770933,146.68473607381506,145.4075529181794,146.37698364257812,565600,0.0,0
2012-02-09,146.53854987877023,146.9232462578345,145.06130545196177,146.330810546875,605500,0.0,0
2012-02-10,144.66125199743178,146.50010050356536,144.30732610846724,146.1846466064453,419500,0.0,0
2012-02-13,147.23875617816014,148.26975187128647,146.6155496354539,148.0697021484375,554600,0.0,0
2012-02-14,146.95409926578233,148.34669906105148,146.09238264992703,147.35418701171875,646100,0.0,0
2012-02-15,148.24663719342385,148.45437659004892,145.74610995036264,146.09234619140625,781500,0.0,0
2012-02-16,148.55441926133165,148.65444411985763,146.61554538686858,148.58518981933594,855100,0.0,0
2012-02-17,149.82391600882335,151.41656537094488,147.8773523929017,150.94723510742188,716500,0.0,0
2012-02-21,151.08566286787467,151.40880644039717,149.16218083619117,149.66998291015625,582200,0.0,0
2012-02-22,148.26201698652787,149.72387061452443,148.03119675684374,148.88522338867188,483500,0.0,0
2012-02-23,148.9467979570957,152.4090666873304,148.33898261227947,151.6704559326172,652500,0.0,0
2012-02-24,152.716849059154,153.18617934561146,150.20861990136163,150.80105590820312,585700,0.0,0
2012-02-27,150.03163896800237,152.64757054118576,149.26224594765364,152.11669921875,477000,0.0,0
2012-02-28,152.29364144461815,153.80164504274148,151.87816267982572,152.5937042236328,567100,0.0,0
2012-02-29,155.4866287080997,155.4866287080997,152.0089807974212,153.1092071533203,1230900,0.0,0
2012-03-01,152.35519722986953,153.87859200350283,151.69351881465428,152.72450256347656,706600,0.0,0
2012-03-02,152.18597146621372,154.07098238585425,152.0320951801221,152.53219604492188,831200,0.0,0
2012-03-05,152.524383892032,152.58640600065837,150.8265656355964,151.3614959716797,456400,1.5,0
2012-03-06,150.1288500082671,151.13668873441736,148.75665055809895,149.75672912597656,870600,0.0,0
2012-03-07,150.51649035105262,152.5089111328125,149.8420189846954,152.5089111328125,516000,0.0,0
