,Open,High,Low,Close,Volume,Dividends,Stock Splits
,CL,CL,CL,CL,CL,CL,CL
Date,,,,,,,
2012-01-03,36.10432422659832,36.39271768388311,35.79222827097958,35.98185729980469,6347600,0.0,0.0
2012-01-04,35.95024089434695,35.98184622509865,35.606539704035214,35.79221725463867,4350200,0.0,0.0
2012-01-05,35.618391730819205,35.73295577302462,35.36160370914663,35.61048889160156,5232800,0.0,0.0
2012-01-06,35.717162616678756,35.7329622698866,35.31420213671516,35.47617721557617,3881000,0.0,0.0
2012-01-09,35.610490319263434,35.653946894552554,35.34975388157889,35.46826934814453,4152400,0.0,0.0
2012-01-10,35.559136380623,35.61444420499321,35.25889175257732,35.3379020690918,5679200,0.0,0.0
2012-01-11,35.3063025475901,35.31420237424716,34.824331742143066,34.966552734375,5438000,0.0,0.0
2012-01-12,35.061355881646946,35.179874346585095,34.85592729167722,34.98234558105469,15039200,0.0,0.0
2012-01-13,34.87173273217931,35.02185654790737,34.70580926494854,34.970497131347656,14450200,0.0,0.0
2012-01-17,35.1719898798704,35.50778835386347,35.1719898798704,35.44853210449219,14860200,0.0,0.0
2012-01-18,35.4564153718407,35.75270853650789,35.37345364741988,35.67764663696289,3905400,0.0,0.0
2012-01-19,35.54727112063149,35.74479984809565,35.3931959402842,35.54331970214844,5160600,0.0,0.0
2012-01-20,35.630801196242786,35.65068345027976,35.11389292734204,35.38825225830078,6467200,0.29,0.0
2012-01-23,35.22126018764688,35.36837797971325,35.054260137060155,35.137760162353516,4333600,0.0,0.0
2012-01-24,34.883288179100134,35.14969349441398,34.680500639953436,35.090049743652344,5123200,0.0,0.0
2012-01-25,34.95883914677935,35.62286551824709,34.95883914677935,35.56322479248047,4835000,0.0,0.0
2012-01-26,35.7302156688986,36.63679086983087,35.682500066994386,36.322669982910156,9754800,0.0,0.0
2012-01-27,36.09602588464567,36.14374148615591,35.8017872593495,35.94493103027344,5654600,0.0,0.0
2012-01-30,36.016507315247814,36.060245863573286,35.47574256650307,35.5910530090332,5652400,0.0,0.0
2012-01-31,35.69840562294886,36.155670286526714,35.69442856434888,36.07217025756836,5923200,0.0,0.0
2012-02-01,36.21928995828374,36.481721234741315,36.0920513788638,36.23519515991211,4334400,0.0,0.0
2012-02-02,36.45388759713361,36.52943654585905,36.09602814739071,36.139766693115234,3845000,0.0,0.0
2012-02-03,36.39822006225586,36.62088681087028,36.310742972841076,36.39822006225586,4805000,0.0,0.0
2012-02-06,36.290866437784864,36.48967693286853,36.163627842275616,36.27893829345703,3161200,0.0,0.0
2012-02-07,36.195432539849484,36.49364823543248,36.18748145608765,36.39822006225586,2961200,0.0,0.0
2012-02-08,36.5174981777047,36.5174981777047,36.14771369167126,36.37038040161133,3217400,0.0,0.0
2012-02-09,36.358467721902095,36.50161153447712,36.20736978995752,36.4857063293457,3353800,0.0,0.0
2012-02-10,36.3067729601638,36.41413233022865,36.14772698520591,36.25110626220703,3855200,0.0,0.0
2012-02-13,36.38232158381036,36.577155024849084,36.282916333581376,36.43798828125,2681600,0.0,0.0
2012-02-14,36.378340528548286,36.54534363613085,36.282912348220506,36.54136657714844,2877400,0.0,0.0
2012-02-15,36.549306060009215,36.81571128873235,36.48568830451999,36.644737243652344,3347400,0.0,0.0
