,Open,High,Low,Close,Volume,Dividends,Stock Splits
,CMCSA,CMCSA,CMCSA,CMCSA,CMCSA,CMCSA,CMCSA
Date,,,,,,,
2012-01-03,10.016921540767614,10.190196157422251,10.016921540767614,10.107684135437012,41645200,0.0,0.0
2012-01-04,10.111810224230219,10.21082418248167,10.058177171702562,10.2025728225708,34687800,0.0,0.0
2012-01-05,10.181943976312917,10.326339609690018,10.103557640440851,10.2933349609375,44687000,0.0,0.0
2012-01-06,10.272706394993438,10.326339440143748,10.140687802150957,10.18606948852539,19228000,0.0,0.0
2012-01-09,10.256204633184677,10.466609564076157,10.252078953728818,10.400599479675293,39423000,0.0,0.0
2012-01-10,10.536743552835828,10.602752844153015,10.450105866174006,10.478984832763672,38885200,0.0,0.0
2012-01-11,10.474858033391866,10.56149571078765,10.40059739187912,10.487235069274902,23534800,0.0,0.0
2012-01-12,10.495489399155856,10.573874954604594,10.44185634869834,10.520242691040039,22122800,0.0,0.0
2012-01-13,10.487235403941154,10.516114368363748,10.375844438117353,10.470732688903809,20122400,0.0,0.0
2012-01-17,10.565623085874755,10.664637028158918,10.491362432438416,10.536744117736816,23967800,0.0,0.0
2012-01-18,10.532617384071358,10.656384602813537,10.441854022560491,10.611002922058105,29457200,0.0,0.0
2012-01-19,10.611002454910283,10.701765812425304,10.586249169630163,10.672886848449707,20073800,0.0,0.0
2012-01-20,10.677012423857834,10.77190146614369,10.623380171168263,10.755398750305176,30587600,0.0,0.0
2012-01-23,10.69764232635498,10.858539893992996,10.635758707024431,10.69764232635498,27095600,0.0,0.0
2012-01-24,10.648136667039319,10.685267001973065,10.561499743455938,10.6687650680542,20047000,0.0,0.0
2012-01-25,10.627509198694069,10.817285769275886,10.565625568586652,10.776030540466309,36182200,0.0,0.0
2012-01-26,10.866791024569066,11.06069323756554,10.792530368176788,10.854413986206055,37100200,0.0,0.0
2012-01-27,10.85441477056099,10.969931442951136,10.809033867069786,10.862666130065918,28733600,0.0,0.0
2012-01-30,10.809031718860899,10.957552225967591,10.660510424861412,10.875041007995605,36507400,0.0,0.0
2012-01-31,10.932799453915608,10.969929779163351,10.833785515552568,10.965804100036621,32184800,0.0,0.0
2012-02-01,11.02356212534255,11.209213753119176,10.961678511714622,11.077195167541504,32168200,0.0,0.0
2012-02-02,11.056564626889422,11.130825263594355,10.994681025266207,11.011183738708496,34668800,0.0,0.0
2012-02-03,11.1267004703637,11.213338149042386,11.097821506435055,11.200961112976074,27271400,0.0,0.0
2012-02-06,11.176210403442383,11.213340733305749,11.11432678263442,11.176210403442383,25879600,0.0,0.0
2012-02-07,11.139080073579018,11.200963694386983,11.04006612290769,11.176210403442383,24368800,0.0,0.0
2012-02-08,11.159706957623712,11.258721688735339,11.073070051517137,11.242218971252441,25437200,0.0,0.0
2012-02-09,11.250469022595976,11.345357276417195,11.18445973412097,11.32885456085205,27902000,0.0,0.0
2012-02-10,11.246341583652356,11.28347190097025,11.13907630994429,11.213336944580078,21410400,0.0,0.0
2012-02-13,11.299978086809386,11.353611137327785,11.250471502984821,11.308229446411133,16057000,0.0,0.0
2012-02-14,11.229841933140268,11.28760065743753,11.110200378960778,11.242218971252441,33453400,0.0,0.0
2012-02-15,11.95594706453025,11.984826038273225,11.67540711349619,11.766170501708984,70532200,0.0,0.0
2012-02-16,11.848679344790243,11.881683991944255,11.712535076918337,11.81980037689209,39917200,0.0,0.0
2012-02-17,11.757916167025677,12.075586371620647,11.716660163447022,12.034330368041992,47056400,0.0,0.0
2012-02-21,12.009579043348479,12.034332334783915,11.927067022706431,11.99307632446289,28840400,0.0,0.0
2012-02-22,11.951817282148387,12.083836639062959,11.88993367581225,12.079710960388184,42155200,0.0,0.0
2012-02-23,12.059086429792716,12.30662172132076,12.038458816704129,12.298370361328125,40036800,0.0,0.0
