,Open,High,Low,Close,Volume,Dividends,Stock Splits
,COP,COP,COP,COP,COP,COP,COP
Date,,,,,,,
2012-01-03,40.03302628762252,40.52585598986389,40.03302628762252,40.168418884277344,10172677,0.0,0.0
2012-01-04,40.02218871273483,40.12508750589931,39.680998548047114,39.97886276245117,7411094,0.0,0.0
2012-01-05,39.675587904787506,39.789318882517435,39.334397681672016,39.65934371948242,10276177,0.0,0.0
2012-01-06,39.783902719365464,39.80556434239869,39.312734640132284,39.350643157958984,7268372,0.0,0.0
2012-01-09,39.40480092570522,39.556440415794455,39.25316143561597,39.50228500366211,10997793,0.0,0.0
2012-01-10,39.83263755301681,39.97886229475433,39.58893145683682,39.6864128112793,6925994,0.0,0.0
2012-01-11,39.469798687885294,39.551033176502465,38.96613401816009,38.99863052368164,9819280,0.0,0.0
2012-01-12,38.69534695301565,38.83073956771554,38.27291950188341,38.32166290283203,14941562,0.0,0.0
2012-01-13,38.12127156385211,38.392059443471155,37.93713829897921,38.09419250488281,12567089,0.0,0.0
2012-01-17,38.45162753229176,38.5924348274092,38.17542495907769,38.34331130981445,8332234,0.0,0.0
2012-01-18,38.39206926837425,38.84698781921032,38.180854180406094,38.72242736816406,9496186,0.0,0.0
2012-01-19,38.841563436705684,38.87947466155722,38.34873106400571,38.59785461425781,10689391,0.0,0.0
2012-01-20,38.467869913185744,38.5599365234375,38.1375092674687,38.5599365234375,10097118,0.0,0.0
2012-01-23,38.33248645867426,38.47329649072924,38.12669155886751,38.213340759277344,12179192,0.0,0.0
2012-01-24,37.985882992097025,38.41372512281905,37.92089270169002,38.240421295166016,10897310,0.0,0.0
2012-01-25,38.72784005209396,38.78741290989606,37.373911219312106,37.899234771728516,22200882,0.0,0.0
2012-01-26,38.1699999586341,38.17541739472869,37.56343953122912,37.6555061340332,13117516,0.0,0.0
2012-01-27,37.41181732145335,37.78008661224628,37.2547603837371,37.585121154785156,10192616,0.0,0.0
2012-01-30,37.3197490886658,37.400983563287866,36.96231198018032,37.21685028076172,15003872,0.0,0.0
2012-01-31,37.3739028245862,37.46055201732017,36.82691234935232,36.940643310546875,28422444,0.0,0.0
2012-02-01,37.31433187279574,37.720512378550545,37.1193664224661,37.54179382324219,13598813,0.0,0.0
2012-02-02,37.48221151779906,37.947962047778596,37.476796790849065,37.86131286621094,11579442,0.0,0.0
2012-02-03,38.23499942040834,38.26749320450138,37.94796467074777,38.1591796875,13078950,0.0,0.0
2012-02-06,38.04004258897423,38.64660329917652,38.01837825464146,38.62493896484375,8888696,0.0,0.0
