,Open,High,Low,Close,Volume,Dividends,Stock Splits
,EMR,EMR,EMR,EMR,EMR,EMR,EMR
Date,,,,,,,
2012-01-03,35.5395140936612,35.87103715186408,35.0606430823406,35.15641784667969,5262200,0.0,0
2012-01-04,35.141682861879204,35.44373913820467,34.942767341805144,35.38479995727539,3517800,0.0,0
2012-01-05,35.05327708987213,35.347964564983016,34.625976456955314,35.15641784667969,6009900,0.0,0
2012-01-06,35.31849733900515,35.517412873469596,34.633344768197084,34.736488342285156,4894700,0.0,0
2012-01-09,34.90592696737404,35.60581418777409,34.86909138953708,35.281654357910156,4248000,0.0,0
2012-01-10,35.775269569943234,36.003651899248844,35.50268003892497,35.87841033935547,4700900,0.0,0
2012-01-11,35.52477875362738,35.65738909902508,35.16378329996146,35.237457275390625,6785400,0.0,0
2012-01-12,35.458467332048514,36.489877512917246,35.149042310525886,36.28359603881836,5582300,0.0,0
2012-01-13,35.952082943171135,36.23940447234399,35.57635543818554,35.760536193847656,5381300,0.0,0
2012-01-17,36.27624014876424,36.79931278109106,36.09205940692732,36.136260986328125,4548500,0.0,0
2012-01-18,36.28361249064036,36.6961784362793,35.95945534002264,36.6961784362793,4427400,0.0,0
2012-01-19,36.83614595767325,36.83614595767325,36.39411333033114,36.68880081176758,4647500,0.0,0
2012-01-20,36.63721666759693,36.63721666759693,36.06993989573055,36.342529296875,5589500,0.0,0
2012-01-23,36.40147620835488,36.902447975344806,36.28360066379105,36.644596099853516,4689400,0.0,0
2012-01-24,36.408848578537665,37.32975231001069,36.298341816985996,37.30765151977539,4339800,0.0,0
2012-01-25,37.3076515638339,38.619017579680104,36.96875966474165,38.38326644897461,6705200,0.0,0
2012-01-26,38.47902434788326,38.86948645991949,38.140132597422614,38.361148834228516,5250700,0.0,0
2012-01-27,38.199066135455176,38.48639031355089,38.00751949376509,38.06645584106445,3837800,0.0,0
2012-01-30,37.88965172731318,38.103302001953125,37.57286071605377,38.103302001953125,3389300,0.0,0
2012-01-31,38.36117070976112,38.50851588844691,37.49183724692805,37.85283279418945,4646000,0.0,0
2012-02-01,38.36852508543299,38.670581323477805,37.970694095703394,38.2211799621582,4538000,0.0,0
2012-02-02,38.39062922445854,38.45693439520652,37.89702343991813,37.90439224243164,5321300,0.0,0
2012-02-03,38.44220176039473,38.98737514128618,38.30959141144819,38.64848327636719,5814700,0.0,0
2012-02-06,38.50851071830377,39.620961187791856,38.501141914652266,39.318904876708984,5229400,0.0,0
2012-02-07,38.15488796825619,38.67796066659045,37.75705684119544,38.25065994262695,9621100,0.0,0
2012-02-08,38.17697937035049,38.45693485131502,38.01489943762764,38.35379409790039,3428200,0.0,0
2012-02-09,38.56008413412132,39.0168516332968,38.1843566192331,38.854774475097656,4122800,0.0,0
2012-02-10,38.41273530721428,38.515876073625655,38.17698418102396,38.456939697265625,2992200,0.0,0
2012-02-13,38.67794764660268,38.898963928222656,38.23591508336274,38.898963928222656,3080600,0.0,0
2012-02-14,38.96527482967496,38.96527482967496,36.917186009264334,38.02963638305664,6382600,0.0,0
2012-02-15,38.371174509674184,38.371174509674184,37.650971609240585,37.844017028808594,4311800,0.4,0
2012-02-16,37.77719930705576,38.267233608449246,37.7326497042663,38.1484375,3554900,0.0,0
2012-02-17,38.371175716289216,38.43799869711449,38.08903392699114,38.23752975463867,3532900,0.0,0
2012-02-21,38.4973923656595,38.7943839980953,38.42314587371161,38.51966857910156,4426700,0.0,0
2012-02-22,38.489967062860906,38.69785949652326,38.23752503670435,38.579063415527344,3568100,0.0,0
2012-02-23,38.48998116006618,38.48998116006618,37.82917754048269,37.91827392578125,4639300,0.0,0
2012-02-24,37.9405301746165,37.97022990040702,37.60641817259923,37.77718734741211,4065600,0.0,0
2012-02-27,37.62127388445962,38.0816112434725,37.450504670240925,37.90341567993164,3263800,0.0,0
2012-02-28,37.87371917330586,37.87371917330586,37.31686188425183,37.60643005371094,4589300,0.0,0
2012-02-29,37.732650364669496,37.75492375029274,37.24261605469935,37.35398864746094,4851200,0.0,0
2012-03-01,37.353984261423236,37.53960333934903,37.1238155851592,37.25746154785156,3731400,0.0,0
2012-03-02,37.279728688619855,37.45792421981282,37.07925977814848,37.294578552246094,3258300,0.0,0
2012-03-05,37.13123114342065,37.25002721453775,36.65604685895224,36.797119140625,3241200,0.0,0
2012-03-06,36.49272525440965,36.552121908350585,36.10663709066167,36.23285675048828,5191400,0.0,0
2012-03-07,36.3516431703468,36.596661737184675,36.269970314734174,36.44816589355469,4463900,0.0,0
2012-03-08,36.6560495136463,36.96789099311389,36.351634382342354,36.87879180908203,3473700,0.0,0
2012-03-09,37.09412163886108,37.30201696454461,36.82682967178425,37.116397857666016,2542000,0.0,0
2012-03-12,37.235188324227934,37.50990376768376,37.086692494787194,37.450504302978516,2527500,0.0,0
2012-03-13,37.76233888689085,38.475115338403185,37.5767198422894,38.437992095947266,4066000,0.0,0
2012-03-14,38.34147181931999,38.75725952510223,38.26722532972268,38.40087127685547,2998900,0.0,0
