,Open,High,Low,Close,Volume,Dividends,Stock Splits
,GE,GE,GE,GE,GE,GE,GE
Date,,,,,,,
2012-01-03,110.05446191458807,111.68444838431596,110.05446191458807,110.83927154541016,7631858,0.0,0.0
2012-01-04,110.53742885531827,112.28814982556139,110.35631524709667,112.04666900634766,5558111,0.0,0.0
2012-01-05,111.44294600118506,112.28812267646316,110.41665576147511,111.98627471923828,5956496,0.0,0.0
2012-01-06,113.07297329404965,113.43520055470043,112.04668268095016,112.59001159667969,6639022,0.0,0.0
2012-01-09,113.1333606695963,113.978549778206,112.04670264452528,113.85780334472656,6108362,0.0,0.0
2012-01-10,114.763298145117,115.00477890734247,112.40886969485048,113.01256561279297,7714772,0.0,0.0
2012-01-11,111.98628686707991,114.40108276206895,111.68443887711173,113.97850036621094,6222879,0.0,0.0
2012-01-12,114.46147860067468,114.70294744760129,113.2540744898149,114.28036499023438,5064514,0.0,0.0
2012-01-13,113.3747876176657,113.73701477050783,112.28813010962554,113.73701477050781,5464849,0.0,0.0
2012-01-17,114.64256029286125,115.30663543212417,112.77109322801955,113.13330841064453,6396884,0.0,0.0
2012-01-18,112.16740783549928,115.00479828838445,112.04666144641672,114.82368469238281,6878638,0.0,0.0
2012-01-19,114.88405519011535,115.84997842946676,114.28035915314308,115.6084976196289,7007988,0.0,0.0
2012-01-20,113.55591672362952,115.91034563811505,112.77110708546768,115.6084976196289,12016199,0.0,0.0
2012-01-23,115.2463001890959,116.15184438439056,114.0992631714268,114.34074401855469,6575998,0.0,0.0
2012-01-24,113.73701477050783,113.85774917129314,113.19368601648773,113.73701477050781,5165771,0.0,0.0
2012-01-25,113.6766891837376,115.66889135268227,113.43520831852499,115.48777770996094,6662526,0.0,0.0
2012-01-26,116.27256660896958,116.33294579584525,114.58221283184795,115.12554168701172,5524155,0.0,0.0
2012-01-27,114.70294248869831,115.48775213301649,114.21999284047888,114.8840560913086,4239534,0.0,0.0
2012-01-30,113.67669114167572,114.2803873274814,112.89188131002925,114.09927368164062,4905043,0.0,0.0
2012-01-31,114.58224223275664,114.76335588936536,112.83150881953483,112.95225524902344,6011278,0.0,0.0
2012-02-01,114.34075912587,115.0652017629709,113.19373393189633,113.31446838378906,6762197,0.0,0.0
2012-02-02,113.79744476163917,114.28040658175351,112.89190033036206,113.1937484741211,4915690,0.0,0.0
2012-02-03,114.70293830330027,115.30664629822427,114.21998867270321,114.82368469238281,5834114,0.0,0.0
2012-02-06,114.64258690599354,115.60851025088061,114.40110606977177,115.00481414794922,5555628,0.0,0.0
2012-02-07,114.82366587483727,115.9103233222746,114.15959078182424,115.78958892822266,4685317,0.0,0.0
2012-02-08,115.84999976527871,116.57444232821109,115.1859244221123,116.15184783935547,4378504,0.0,0.0
2012-02-09,116.5744475910414,116.81592845625401,115.36704326497838,115.48777770996094,5743855,0.0,0.0
2012-02-10,114.64256354909222,114.76330993022565,113.31442520808606,113.97850036621094,14240824,0.0,0.0
2012-02-13,114.884060865245,115.18590889864205,114.09925118831454,115.12554168701172,13558883,0.0,0.0
2012-02-14,114.28037680058436,115.2463001890959,113.49556704123037,114.34074401855469,5099822,0.0,0.0
2012-02-15,114.7633030430068,114.82367024232893,112.89183603732039,113.2540512084961,5387044,0.0,0.0
2012-02-16,113.85774975257712,114.8840400654642,113.49553457312886,114.7633056640625,5266391,0.0,0.0
2012-02-17,115.78959931319682,116.63477607309028,115.36700494562834,116.39329528808594,7549984,0.0,0.0
2012-02-21,117.23846015285827,117.72142167386525,116.63476423922069,117.17809295654297,5450146,0.0,0.0
2012-02-22,117.29882328142617,117.54030403355547,115.78958354967038,117.05734252929688,5314244,0.0,0.0
2012-02-23,116.1438143688217,117.97093352517105,115.71748213591299,117.60551452636719,5931692,1.307692,0.0
