,Open,High,Low,Close,Volume,Dividends,Stock Splits
,GM,GM,GM,GM,GM,GM,GM
Date,,,,,,,
2012-01-03,16.099376898557093,16.36989000832946,16.037545456967223,16.269412994384766,9321300,0.0,0
2012-01-04,16.2694110072433,16.516738217572144,16.037543498145993,16.34670066833496,7856700,0.0,0
2012-01-05,16.308057599606546,17.22780152861696,16.199851477607947,17.135053634643555,17880600,0.0,0
2012-01-06,17.20461571758184,17.79974428191122,17.18915748818105,17.714725494384766,18234500,0.0,0
2012-01-09,17.931137220802494,18.108902445670477,17.5446903106488,17.652894973754883,12084500,0.0,0
2012-01-10,17.94659506780163,18.08571619978257,17.60652282760163,17.962053298950195,13538300,0.0,0
2012-01-11,18.06252821458152,19.044102190857924,18.039340870570747,18.912710189819336,21947000,0.0,0
2012-01-12,18.819963582046945,19.183223123005718,18.363956140110467,19.067289352416992,16750800,0.0,0
2012-01-13,18.75813376470732,19.05183277392412,18.479891511844457,18.773591995239258,12963100,0.0,0
2012-01-17,19.01318434530303,19.075015779182973,18.680839835381718,18.70402717590332,9385800,0.0,0
2012-01-18,18.758132076652092,18.99772873162367,18.564908634925175,18.943626403808594,8919200,0.0,0
2012-01-19,19.082750077177934,19.306888533071046,18.897255725142163,19.183225631713867,15222800,0.0,0
2012-01-20,19.268245303464937,19.407366442348575,19.198684734023118,19.32234764099121,9896400,0.0,0
2012-01-23,19.430555181320496,19.515573995214943,19.160043453798814,19.26051902770996,8923500,0.0,0
2012-01-24,19.19868400587848,19.26824457268209,18.935899969993308,19.1600399017334,8350000,0.0,0
2012-01-25,19.23733167641738,19.33007960740935,18.843155549513614,19.26051902770996,13441000,0.0,0
2012-01-26,19.399634611649443,19.708791835806906,19.01318771290813,19.105934143066406,11585300,0.0,0
2012-01-27,18.39487367520321,18.966816441219713,18.031614083869883,18.835424423217773,14784100,0.0,0
2012-01-30,18.595824713506413,18.990000734730334,18.510807396583733,18.727216720581055,6319800,0.0,0
2012-01-31,18.959086934548395,19.00546015342268,18.510808554288868,18.564910888671875,9190800,0.0,0
2012-02-01,18.80450796054528,18.99773142971413,18.603555375708307,18.835424423217773,13337500,0.0,0
2012-02-02,19.051831242417627,19.08274770099624,18.781318126566283,18.789047241210938,6670900,0.0,0
2012-02-03,19.322341186636027,20.435308451756004,19.160034228273553,20.234355926513672,25528100,0.0,0
2012-02-06,20.458496217873883,20.736738428541187,20.056592604238396,20.636262893676758,17264100,0.0,0
2012-02-07,20.574432734113092,20.574432734113092,20.21117172000916,20.265274047851562,10764100,0.0,0
2012-02-08,20.33483385974448,20.419852642768973,19.77062178409313,19.902013778686523,17524300,0.0,0
2012-02-09,20.06432129849266,20.26527385295893,19.708790876560087,19.894285202026367,7440000,0.0,0
2012-02-10,19.693329691411254,19.724246144770387,19.515564507129145,19.70878791809082,9819000,0.0,0
2012-02-13,20.0952385683655,20.0952385683655,19.484651765798226,19.585128784179688,10503600,0.0,0
2012-02-14,19.48464623802748,19.67014199254096,19.32233929555006,19.63149642944336,9885800,0.0,0
2012-02-15,19.886556307380893,19.90201453655178,19.245054538567892,19.26824188232422,13329000,0.0,0
2012-02-16,19.54648356726641,21.069083717999014,19.531025338525286,20.999523162841797,35313600,0.0,0
2012-02-17,20.999524590581874,21.393700605213205,20.875861700600822,21.130916595458984,17603600,0.0,0
2012-02-21,21.09999933279435,21.293222775307772,20.860402676847514,20.914505004882812,8593200,0.0,0
2012-02-22,20.92996274090869,20.968606838829643,20.504871767066838,20.520328521728516,10693300,0.0,0
2012-02-23,20.62853422986766,21.076812537851342,20.296189687466722,20.70582389831543,10300900,0.0,0
2012-02-24,20.79083748849027,20.829483052891455,20.141606748325817,20.149335861206055,9404600,0.0,0
2012-02-27,20.149341311462756,20.520329984998714,19.76289440798498,20.450769424438477,8600900,0.0,0
2012-02-28,20.473950854292823,20.504867305244495,20.17252282840163,20.20343780517578,7547000,0.0,0
2012-02-29,20.14934089247557,20.520329558297156,20.033407118678564,20.11069679260254,12018900,0.0,0
2012-03-01,20.24209245866472,20.713556753970632,20.21117599382988,20.4585018157959,8893300,0.0,0
2012-03-02,20.520327131033653,20.674906460597064,20.373478389543926,20.443038940429688,8465700,0.0,0
2012-03-05,20.303917473489072,20.4043930039738,19.940656497801683,20.09523582458496,7650500,0.0,0
2012-03-06,19.56194239641328,19.585129741984026,18.843150899677937,18.997730255126953,19071300,0.0,0
2012-03-07,19.129119648949715,19.484650054011723,19.129119648949715,19.229595184326172,6888800,0.0,0
2012-03-08,19.60831549980137,19.778351597684484,19.399633829096274,19.670146942138672,8646700,0.0,0
2012-03-09,19.863373734873402,19.956120176937716,19.623775565488014,19.801542282104492,6323600,0.0,0
2012-03-12,19.80153449953228,19.871093566652743,19.43827356738105,19.623767852783203,4006300,0.0,0
2012-03-13,19.693328520514893,20.17252319984677,19.577394775666427,20.149335861206055,8361200,0.0,0
2012-03-14,20.195715294825312,20.551247226112505,20.095239744739935,20.342565536499023,9082600,0.0,0
2012-03-15,20.38120784147344,20.543514813447004,20.002488625179588,20.133880615234375,10133700,0.0,0
2012-03-16,20.149340565937052,20.149340565937052,19.523297018236494,19.762893676757812,11752400,0.0,0
2012-03-19,19.708786619742433,19.863365927999663,19.50783410867905,19.623767852783203,5462700,0.0,0
2012-03-20,19.399632037434554,19.646957783941883,19.013185189972422,19.391902923583984,10819300,0.0,0
2012-03-21,19.453736093238753,19.701061861778992,19.399633765642808,19.546483993530273,6122800,0.0,0
2012-03-22,19.330073632287736,19.523297077463532,19.22186897472622,19.36098861694336,5605800,0.0,0
2012-03-23,19.353257917242896,19.56966719815811,19.144576275636656,19.453733444213867,5802800,0.0,0
2012-03-26,19.500109143518493,19.809266351613104,19.430548587424973,19.77062225341797,7957700,0.0,0
2012-03-27,19.64696160147718,19.979306190739816,19.585130152836086,19.592859268188477,6632500,0.0,0
2012-03-28,19.63923075717933,19.69333308570512,19.33780265586256,19.438278198242188,5162000,0.0,0
2012-03-29,19.337802717362646,19.608315835029796,19.275971273968256,19.561941146850586,6433300,0.0,0
2012-03-30,19.701065107441927,19.925205043468743,19.40736607745925,19.82472801208496,6035000,0.0,0
2012-04-02,20.118427906089053,20.798573860998104,20.079782328198842,20.682640075683594,14465300,0.0,0
