,Open,High,Low,Close,Volume,Dividends,Stock Splits
,IBM,IBM,IBM,IBM,IBM,IBM,IBM
Date,,,,,,,
2012-01-03,123.21598195058723,124.52251075230863,122.73428667184528,122.93224334716797,5905716,0.0,0.0
2012-01-04,122.45057075796502,122.95206600990453,122.0348574500171,122.43077087402344,4546648,0.0,0.0
2012-01-05,121.94906837707093,122.09423943254762,120.82070675913262,121.85009002685547,4668403,0.0,0.0
2012-01-06,121.67188033162904,121.73126942745952,120.29936978567639,120.45113372802734,5122367,0.0,0.0
2012-01-09,120.22678890354919,120.27298159450908,118.95325662442215,119.82427215576172,5440455,0.0,0.0
2012-01-10,120.90652754310986,121.22985552011258,119.56700185128503,119.63958740234375,5398406,0.0,0.0
2012-01-11,119.25686211654197,120.62937348707014,119.1050875511592,120.30604553222656,4299897,0.0,0.0
2012-01-12,120.00249981071447,120.03549611111839,117.7061763651769,119.13807678222656,7197526,0.0,0.0
2012-01-13,118.43201173210517,118.5177936731486,117.02650438059264,118.2208480834961,5522043,0.0,0.0
2012-01-17,119.01270008287318,120.09486915480129,118.32644447006919,118.77515411376953,6279556,0.0,0.0
2012-01-18,118.66294814964799,119.83090950173698,118.44520210414275,119.4811782836914,4812228,0.0,0.0
2012-01-19,119.95629042661884,120.33241449702024,119.00608557461102,119.11827087402344,8961291,0.0,0.0
2012-01-20,122.58253862630484,124.69409081329137,121.90947952362869,124.39715576171875,13440786,0.0,0.0
2012-01-23,123.9946017303092,125.71684347065691,123.83623431055828,125.36051940917969,6016278,0.0,0.0
2012-01-24,124.46972570013153,126.89141957851129,124.39714018125795,126.64727020263672,5591602,0.0,0.0
2012-01-25,126.25137051738596,126.85185466383788,125.1164158808235,126.51531982421875,4560246,0.0,0.0
2012-01-26,126.55488190826719,127.214744501922,125.68386623356115,126.02040100097656,4188916,0.0,0.0
2012-01-27,125.38034628678781,126.54170420199668,125.2483716421806,125.67729187011719,3514978,0.0,0.0
2012-01-30,124.97119590021875,127.17513278177145,124.1991586979182,127.02336883544922,4559514,0.0,0.0
2012-01-31,127.41273679113553,127.41934026356951,126.03363264226834,127.08940887451172,5048833,0.0,0.0
2012-02-01,127.49190528977987,128.5476813521667,126.96401725858645,127.10258483886719,5322885,0.0,0.0
2012-02-02,127.1685728060771,127.57108968659587,126.25136428132502,126.38333892822266,4087036,0.0,0.0
2012-02-03,127.30712828151754,128.09895495836173,127.049782505173,127.77562713623047,4729698,0.0,0.0
2012-02-06,127.01021329092416,127.8548363393746,126.69348886312697,127.23457336425781,3807231,0.0,0.0
2012-02-07,126.99044979697685,128.10561532306997,126.6737147728306,127.58432006835938,3590918,0.0,0.0
2012-02-08,127.70348952989852,128.23343305031565,127.00793271211664,127.81610107421875,3978775,0.717017,0.0
2012-02-09,127.86910190112124,128.81637746909973,127.55113365031052,127.93534088134766,4054714,0.0,0.0
2012-02-10,127.0278512184903,127.47167892977302,126.709882887719,127.46504974365234,3547091,0.0,0.0
2012-02-13,128.0545637352048,128.30629297063393,127.01455374015151,127.59748840332031,2571905,0.0,0.0
2012-02-14,127.02780206124224,127.58424113832876,126.41174262359995,127.33251190185547,3554413,0.0,0.0
2012-02-15,127.3921680154865,128.14071617857329,126.69662161713588,127.35242462158203,4205861,0.0,0.0
2012-02-16,127.59092721144806,128.01488857019874,127.18685341387872,127.86253356933594,3687673,0.0,0.0
2012-02-17,128.3195961406417,128.41895992641574,127.38556809607365,128.1274871826172,3918839,0.0,0.0
2012-02-21,128.33285869531386,128.6706934912143,127.49156515340553,128.10763549804688,3445106,0.0,0.0
2012-02-22,127.86911316665287,129.00186855192538,127.6836334328158,128.42555236816406,3426487,0.0,0.0
2012-02-23,128.42554904670234,131.97618063792754,128.0347231797489,130.90304565429688,8402204,0.0,0.0
2012-02-24,131.4131702347205,131.5324004495508,130.240660492391,131.00245666503906,3507447,0.0,0.0
2012-02-27,130.35325290377284,131.63174487108043,129.90280656832377,130.85008239746094,3931286,0.0,0.0
2012-02-28,130.99580787151373,131.79734726444465,130.78382194825375,131.14816284179688,3313100,0.0,0.0
2012-02-29,131.0686622555069,131.9364405500846,130.13462382919616,130.3201141357422,5352487,0.0,0.0
2012-03-01,130.65135482913166,131.47276070184404,130.45261668793748,130.85008239746094,3724074,0.0,0.0
2012-03-02,130.56522729055803,131.75097398218708,130.53872112064352,131.69798278808594,3898860,0.0,0.0
2012-03-05,131.3998897696219,133.27457497558424,131.36014637136,132.92349243164062,7257148,0.0,0.0
2012-03-06,131.9166120081918,132.2478281790314,130.37314274896352,130.67123413085938,5454576,0.0,0.0
2012-03-07,131.22100851716897,131.538976774666,130.7043127419518,131.009033203125,3500857,0.0,0.0
2012-03-08,131.98285434491513,132.47967332728294,131.59201777325714,132.36044311523438,3290507,0.0,0.0
2012-03-09,132.47303718256975,133.2149562508234,132.30080521509197,132.89698791503906,3324397,0.0,0.0
2012-03-12,133.10232432152065,133.52628556204684,132.6386196883129,133.14869689941406,3263206,0.0,0.0
2012-03-13,133.62567218631744,135.0697669503262,133.5528040008392,134.9902801513672,5089836,0.0,0.0
2012-03-14,134.99026730545515,135.8977996579657,134.89752214263044,135.61294555664062,4814006,0.0,0.0
2012-03-15,135.7586855716905,136.58010196922393,135.62620758246274,136.4608612060547,3787671,0.0,0.0
2012-03-16,137.1431788573431,137.46776581019674,136.46749877929688,136.46749877929688,10080302,0.0,0.0
2012-03-19,136.26875675347708,136.81194820366068,135.46721737653317,136.27537536621094,3936307,0.0,0.0
2012-03-20,135.62617212794575,135.79840404178236,134.93723389973786,135.30157470703125,3865075,0.0,0.0
2012-03-21,135.34800894389326,136.30853270308137,135.33476114239775,135.59310913085938,3483075,0.0,0.0
2012-03-22,135.13605785287223,136.45429363527117,135.10955167224748,136.12307739257812,3459959,0.0,0.0
2012-03-23,136.38801563580694,136.43437764969636,135.50697877892992,136.1164093017578,3175865,0.0,0.0
2012-03-26,136.7589239559715,137.7326950487304,136.6728080011988,137.63333129882812,3575437,0.0,0.0
2012-03-27,138.090435120695,138.22292367215505,137.12328243975898,137.24252319335938,2828907,0.0,0.0
2012-03-28,137.41479348560782,138.24282866079517,136.63974951664696,137.3154296875,3415922,0.0,0.0
2012-03-29,136.52049423720769,138.1169545975358,136.47413222311434,137.964599609375,3560270,0.0,0.0
2012-03-30,138.27586791515122,138.5275971347427,137.79229702530048,138.21624755859375,3363099,0.0,0.0
2012-04-02,138.42166092430338,138.90523201226608,137.8453446719528,138.75950622558594,3543743,0.0,0.0
2012-04-03,138.65352903848546,139.56768012326705,138.14345172204352,138.77938842773438,4279709,0.0,0.0
2012-04-04,136.60656907331818,137.11001704596598,135.92427056608588,136.49395751953125,4606584,0.0,0.0
2012-04-05,135.89778114868054,136.24886362215327,135.44069515539096,136.10975646972656,3984214,0.0,0.0
2012-04-09,135.40098576166642,136.57349536591985,134.71868705211992,135.75869750976562,3479937,0.0,0.0
2012-04-10,135.75864656720054,136.28859009044757,133.9237159285108,134.0297088623047,4323013,0.0,0.0
2012-04-11,135.12935557779923,135.34796008285744,134.11584097851107,134.19532775878906,3521045,0.0,0.0
2012-04-12,134.3410631328506,136.1693753676308,134.2350701870436,136.01039123535156,3064362,0.0,0.0
2012-04-13,135.34800656263275,135.56661114276181,134.3411102294922,134.3411102294922,3940282,0.0,0.0
2012-04-16,135.62621352907388,136.44100077643864,134.28810119628906,134.28810119628906,4002624,0.0,0.0
2012-04-17,135.51357691934786,137.54724608704203,135.23536258658277,137.42138671875,6344513,0.0,0.0
2012-04-18,134.0959796509289,135.18236254539053,132.48627172019388,132.5723876953125,10620561,0.0,0.0
