,Open,High,Low,Close,Volume,Dividends,Stock Splits
,JPM,JPM,JPM,JPM,JPM,JPM,JPM
Date,,,,,,,
2012-01-03,25.508276144065327,26.354555674894243,25.47082777058157,26.197282791137695,44102800,0.0,0
2012-01-04,25.97853805624139,26.51410246017906,25.895566045326337,26.363239288330078,36571200,0.25,0
2012-01-05,26.182196955092042,27.09491476496707,25.948361825481506,26.913881301879883,38381400,0.0,0
2012-01-06,26.921422333789863,26.98176873794153,26.50655087640941,26.672500610351562,33160600,0.0,0
2012-01-09,26.732850210471998,26.91388658658177,26.39341168116399,26.627246856689453,23001800,0.0,0
2012-01-10,27.2080683245163,27.419275033203455,26.974230270272955,27.192981719970703,35972800,0.0,0
2012-01-11,27.004395368855427,27.71345118216242,26.898792046228785,27.653104782104492,29852900,0.0,0
2012-01-12,27.773804026238224,27.947295668420235,27.283499432372235,27.796432495117188,39420700,0.0,0
2012-01-13,26.597061549616832,27.094907760620117,26.499002981408466,27.094907760620117,61571500,0.0,0
2012-01-17,26.287799507747387,26.913880502902412,26.023791182968115,26.333059310913086,55115100,0.0,0
2012-01-18,26.053962283880395,27.66819105943213,26.04641754522378,27.56258773803711,55502100,0.0,0
2012-01-19,27.78888510585097,28.022723121848777,27.690823631080907,27.856773376464844,37000400,0.0,0
2012-01-20,27.743628484846173,28.2113045705354,27.622938531840184,28.18113136291504,34716500,0.0,0
2012-01-23,28.143412772091853,28.618627784035503,28.113239568245405,28.407421112060547,27499200,0.0,0
2012-01-24,28.04535129832844,28.58091271796499,27.75871161673736,28.407421112060547,25403800,0.0,0
2012-01-25,28.1811262709431,28.528109463455422,28.00008993540736,28.362159729003906,29860700,0.0,0
2012-01-26,28.573369687919588,28.739316547342458,28.09815181792346,28.27918815612793,33284600,0.0,0
2012-01-27,28.083068322946083,28.40742309322857,28.02272478851985,28.067981719970703,27674600,0.0,0
2012-01-30,27.653113497433882,28.037811847885564,27.42682018084609,27.91712188720703,24423600,0.0,0
2012-01-31,28.309359678661576,28.316904418371493,27.856773130219903,28.135868072509766,29649500,0.0,0
2012-02-01,28.580911128512735,28.68651445862736,28.286729601057726,28.362159729003906,41957800,0.0,0
2012-02-02,28.43004714409206,28.784575065271174,28.22638235176416,28.324443817138672,26784200,0.0,0
2012-02-03,28.867559225470153,29.041050872397776,28.70160944254992,28.87510108947754,41074400,0.0,0
2012-02-06,28.709141954850825,28.905261987735475,28.520563782760966,28.769485473632812,23106200,0.0,0
2012-02-07,28.558290274247543,28.75441038564374,28.43760031089395,28.565832138061523,21091900,0.0,0
2012-02-08,28.701606171539186,28.92789947315606,28.641262633929895,28.89018440246582,23258700,0.0,0
