,Open,High,Low,Close,Volume,Dividends,Stock Splits
,KO,KO,KO,KO,KO,KO,KO
Date,,,,,,,
2012-01-03,25.447619082982246,25.65076383349571,25.429479972697976,25.44399070739746,15639600,0.0,0.0
2012-01-04,25.360563935040823,25.418604121058106,25.211830942023383,25.284381866455078,14239200,0.0,0.0
2012-01-05,25.306141417768035,25.346045243977233,25.15740847141748,25.16466522216797,14287600,0.0,0.0
2012-01-06,25.20094142066211,25.258981590190473,24.892595927966276,25.005050659179688,13646600,0.0,0.0
2012-01-09,25.030443752280764,25.09211229729202,24.95789284846042,25.005050659179688,10522600,0.0,0.0
2012-01-10,25.20094247119393,25.219078814085265,25.070348624761685,25.15378189086914,12964400,0.0,0.0
2012-01-11,24.80190681323136,24.947008626130767,24.504443668564083,24.689449310302734,23428800,0.0,0.0
2012-01-12,24.820041343165585,24.849062810681605,24.431888209967084,24.511695861816406,15237000,0.0,0.0
2012-01-13,24.42826170468375,24.460911550048596,24.148937669467394,24.30129623413086,19991800,0.0,0.0
2012-01-17,24.573368613844913,24.624154806877616,24.4210100347468,24.43189239501953,15577000,0.0,0.0
2012-01-18,24.4717917003297,24.60238553472159,24.37021933305588,24.518949508666992,13282200,0.0,0.0
2012-01-19,24.54072194109153,24.573369022452578,24.399245719913672,24.468168258666992,13544800,0.0,0.0
2012-01-20,24.500812473308823,24.711213952494763,24.45002629111075,24.700328826904297,19158600,0.0,0.0
2012-01-23,24.66768670252063,24.892598959982216,24.635039622116803,24.859949111938477,13803200,0.0,0.0
2012-01-24,24.725721338233235,24.84905840183402,24.562477688148746,24.63140296936035,14751200,0.0,0.0
2012-01-25,24.635037325038432,24.849064434768675,24.50081510473393,24.823671340942383,14476000,0.0,0.0
2012-01-26,24.892596189057805,24.892596189057805,24.580622317606874,24.67131233215332,14721000,0.0,0.0
2012-01-27,24.635036239959668,24.718469501297008,24.38835929609527,24.46453857421875,16825000,0.0,0.0
2012-01-30,24.41012938548718,24.511701778672244,24.31581097711242,24.471797943115234,10591600,0.0,0.0
2012-01-31,24.660428429969464,24.660428429969464,24.370219294526425,24.49718475341797,13543400,0.0,0.0
2012-02-01,24.624150256821455,24.791019541329042,24.595131557336238,24.61326789855957,14915000,0.0,0.0
2012-02-02,24.693073972535476,24.754742510507885,24.576990879088893,24.60601234436035,13150000,0.0,0.0
2012-02-03,24.76200178419767,24.84543504580692,24.60964045981464,24.696704864501953,16555800,0.0,0.0
2012-02-06,24.60963687920078,24.751115824323104,24.558850701008826,24.67856216430664,14586400,0.0,0.0
2012-02-07,24.700330698761544,25.19368459262139,24.53346140637359,24.867202758789062,24269600,0.0,0.0
2012-02-08,24.972404957716023,24.976033333800814,24.740238705810008,24.787399291992188,16428400,0.0,0.0
2012-02-09,24.798277422890486,24.809159781648678,24.584247552634345,24.656801223754883,16311400,0.0,0.0
2012-02-10,24.49718684409588,24.645919799804688,24.45728301537594,24.645919799804688,10994600,0.0,0.0
2012-02-13,24.820038553461625,24.885335464213743,24.70032708914288,24.827295303344727,11091000,0.0,0.0
2012-02-14,24.83818039986074,25.005049686266535,24.703958188611974,24.99416732788086,12596000,0.0,0.0
2012-02-15,25.11387951581529,25.12113349906445,24.751119465287285,24.812788009643555,14776800,0.0,0.0
2012-02-16,24.888962409928293,25.026810205760682,24.8200371281926,24.979652404785156,11752000,0.0,0.0
2012-02-17,25.05583796802622,25.092113421561745,24.88534029200561,25.048583984375,14841800,0.0,0.0
2012-02-21,24.98690982720206,25.04858113560224,24.84906201238862,24.965145111083984,13424800,0.0,0.0
2012-02-22,24.885335436193582,25.15377706114374,24.885335436193582,25.121129989624023,13766400,0.0,0.0
