,Open,High,Low,Close,Volume,Dividends,Stock Splits
,LMT,LMT,LMT,LMT,LMT,LMT,LMT
Date,,,,,,,
2012-01-03,59.7697368557258,60.402948953642195,59.514990484496565,59.69694900512695,2273600,0.0,0
2012-01-04,58.918188535085406,59.28210571084983,58.4960488314296,58.88908004760742,2242700,0.0,0
2012-01-05,58.707142902105105,58.72169715115994,57.535328723911775,58.27771759033203,2616100,0.0,0
2012-01-06,58.52515768624747,58.52515768624747,57.97200207327574,58.212188720703125,4274300,0.0,0
2012-01-09,58.48147857729425,58.48147857729425,58.05205905208859,58.25585174560547,1861500,0.0,0
2012-01-10,58.685275748464626,59.10014106418783,58.48876293698937,58.678001403808594,1846700,0.0,0
2012-01-11,58.583372456181074,59.04918589400674,58.583372456181074,58.7944450378418,1245900,0.0,0
2012-01-12,59.04190661864552,59.51499436075038,58.7798858876375,59.45677185058594,1822300,0.0,0
2012-01-13,59.07102693880735,59.340322041671094,58.80900617990499,59.33304214477539,1475600,0.0,0
2012-01-17,59.71881730909655,59.755205698899786,59.20932987542701,59.42040252685547,1953700,0.0,0
2012-01-18,59.383996334925435,59.88620376586914,59.20203776463393,59.88620376586914,1155900,0.0,0
2012-01-19,59.86436465717351,60.92700195312501,59.57322985828426,60.927001953125,1959400,0.0,0
2012-01-20,60.51941509510688,60.73048768034667,60.07543578700494,60.25011444091797,2461700,0.0,0
2012-01-23,60.286523535545705,60.30835767865978,59.60963733433082,60.0754508972168,1716700,0.0,0
2012-01-24,60.08270708419821,60.27193995179641,59.76973819955997,59.85707473754883,1139000,0.0,0
2012-01-25,59.71153539745887,59.87893420137104,59.136545549761195,59.48590850830078,2421500,0.0,0
2012-01-26,60.024497985839844,60.37385535402729,59.16565325572078,60.024497985839844,2733700,0.0,0
2012-01-27,59.6823947667672,60.08270573332741,59.43493384411789,59.69694900512695,1952500,0.0,0
2012-01-30,59.18748978157122,59.77703383472272,59.165655639296794,59.689697265625,3109900,0.0,0
2012-01-31,59.82797542299469,59.973545610337524,59.46405828403989,59.91531753540039,2878600,0.0,0
2012-02-01,60.07543712263708,60.93428172346073,59.87164442971865,60.78871154785156,2114100,0.0,0
2012-02-02,60.81784010699726,60.91973647779054,60.337472295105485,60.53398513793945,1298800,0.0,0
2012-02-03,60.708639351892835,61.66938005323985,60.59218324121659,61.56747817993164,3366800,0.0,0
2012-02-06,61.41464905525883,62.15704306411281,61.3855350203102,62.04786682128906,2028300,0.0,0
2012-02-07,61.86589011469808,63.059537432676464,61.86589011469808,63.0522575378418,2871300,0.0,0
2012-02-08,63.008639401287795,63.83837037868482,62.695670309607365,63.78742218017578,3394000,0.0,0
2012-02-09,63.80195315331799,64.1003623089136,63.61271469310207,64.05669403076172,2865000,0.0,0
2012-02-10,63.416183767585586,63.84560877840174,63.32156733269626,63.69276428222656,1928200,0.0,0
2012-02-13,63.78741739363987,64.23139689859028,63.307049494163365,64.21684265136719,2583400,0.0,0
