,Open,High,Low,Close,Volume,Dividends,Stock Splits
,MA,MA,MA,MA,MA,MA,MA
Date,,,,,,,
2012-01-03,35.69196573507569,35.717431869394034,34.48830315701314,34.7486572265625,14708000,0.0,0.0
2012-01-04,34.427924514343765,34.59488832709061,33.258220641250034,33.6053581237793,22841000,0.0,0.0
2012-01-05,33.38831617746146,33.561013092189306,33.081611036044215,33.25714111328125,14757000,0.015,0.0
2012-01-06,33.34678851892705,33.407188515663634,32.25397985225939,32.3615608215332,20887000,0.0,0.0
2012-01-09,32.545589237758705,32.823984387232144,32.283239077891295,32.6352424621582,11486000,0.0,0.0
2012-01-10,32.911743349923874,33.150499388078686,32.580500936565734,32.91929244995117,10252000,0.0,0.0
2012-01-11,32.084105686422454,32.61069217129844,31.996338872308886,32.22471618652344,14353000,0.0,0.0
2012-01-12,32.227540274774086,32.54368071414342,32.0444612000449,32.39740753173828,13262000,0.0,0.0
2012-01-13,32.23605141880734,32.649394359278574,31.833087141252342,31.999181747436523,12545000,0.0,0.0
2012-01-17,32.18697372714218,32.746593480963696,32.1341264303168,32.649391174316406,11118000,0.0,0.0
2012-01-18,32.651267557415906,33.45530581300649,32.621071168443166,33.254295349121094,12440000,0.0,0.0
2012-01-19,33.547782428440286,33.595910164547,33.07875929833337,33.30336380004883,8855000,0.0,0.0
2012-01-20,33.02686698033524,33.02969654200277,31.850064522645525,32.148277282714844,18952000,0.0,0.0
2012-01-23,32.081278230320535,32.45404245990652,31.733051273556153,31.99728775024414,10343000,0.0,0.0
2012-01-24,31.940660731590437,32.52009447894873,31.831189815169687,32.338905334472656,6830000,0.0,0.0
2012-01-25,32.289853694753894,33.01839433795626,32.180382700712435,32.91364288330078,8994000,0.0,0.0
2012-01-26,32.9362856258949,33.49590189987007,32.76736143730807,32.824928283691406,9230000,0.0,0.0
2012-01-27,32.81736660740718,33.19012718470173,32.615412928601174,32.91551208496094,7243000,0.0,0.0
2012-01-30,32.74375386088485,33.253355779726924,32.67580837835313,33.215606689453125,8240000,0.0,0.0
