,Open,High,Low,Close,Volume,Dividends,Stock Splits
,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ
Date,,,,,,,
2012-01-03,20.4922690764816,20.546266325433653,20.087283529752174,20.12508201599121,8773000,0.0,0
2012-01-04,20.168278740928347,20.254675572332484,20.071082048115823,20.189878463745117,7333300,0.0,0
2012-01-05,20.211480947519618,20.459871614254663,20.189881221752252,20.378875732421875,8508400,0.0,0
2012-01-06,20.476064072224414,20.49766379133928,20.24927320110607,20.27627182006836,7954400,0.0,0
2012-01-09,20.341073731898824,20.395073042466613,20.21687840738753,20.368074417114258,5238800,0.0,0
2012-01-10,20.5516633485379,20.600261687228485,20.46526653085048,20.53006362915039,6825700,0.0,0
2012-01-11,20.497666962594607,20.557065169418877,20.373471648263376,20.481468200683594,5576500,0.0,0
2012-01-12,20.578669026724313,20.665065874047528,20.497671081168598,20.6380672454834,6206800,0.0,0
2012-01-13,20.616461103430765,20.654259583631404,20.36807050215152,20.395069122314453,10413800,0.0,0
2012-01-17,20.594863088156494,20.80545522666749,20.52466502203188,20.58946418762207,8495000,0.0,0
2012-01-18,20.594866421040795,20.962053512689337,20.594866421040795,20.908056259155273,11589500,0.0,0
2012-01-19,20.945845645458036,20.972844260491367,20.76225217942418,20.897247314453125,6959300,0.0,0
2012-01-20,20.956649128842077,20.956649128842077,20.713657431781137,20.88105010986328,7219000,0.0,0
2012-01-23,20.854051890941935,20.875651611065276,20.63806086929659,20.773056030273438,8766800,0.0,0
2012-01-24,20.719059548047696,20.84325486585518,20.627263814832023,20.68126106262207,7433400,0.0,0
2012-01-25,20.584063814773277,21.05924741001733,20.573263953533306,20.719058990478516,10357500,0.0,0
2012-01-26,20.82164690010059,21.005240335552823,20.724450254281056,20.843244552612305,6497200,0.0,0
2012-01-27,20.854051890941935,20.864851751003606,20.66505948951942,20.773056030273438,6794500,0.0,0
2012-01-30,20.686660773295138,20.697460634173144,20.53546478086592,20.61646270751953,6203300,0.0,0
2012-01-31,20.65426243872705,20.713660647213878,20.535466021753383,20.68126106262207,6687500,0.0,0
2012-02-01,20.80005465049627,20.945849671534788,20.75685521024959,20.773056030273438,5254800,0.0,0
2012-02-02,20.816250049291444,20.89724795674325,20.778451575110562,20.83245086669922,4903700,0.0,0
2012-02-03,20.956641612733712,21.09163672270011,20.93504190077223,20.99444007873535,5970500,0.0,0
2012-02-06,20.989043017538908,21.02684149055803,20.848648983448214,20.897247314453125,5310700,0.0,0
2012-02-07,20.805454706853276,20.854053049900287,20.713658981021585,20.794654846191406,5800100,0.0,0
2012-02-08,20.76765071225127,20.87024833137584,20.735253198727516,20.810850143432617,6015500,0.0,0
2012-02-09,20.821655522499707,20.940449870024562,20.816254562238743,20.864852905273438,4800900,0.0,0
2012-02-10,20.778451575110562,20.85944948256237,20.708253525976488,20.83245086669922,6107000,0.0,0
2012-02-13,20.902650788175837,20.940449269467365,20.713658381718194,20.735258102416992,7430800,0.0,0
2012-02-14,20.756853657102596,20.84865143082661,20.697457521001798,20.78925323486328,8029500,0.0,0
2012-02-15,20.697457262182336,20.908049365337046,20.638059066961777,20.675857543945312,7808600,0.0,0
2012-02-16,20.80006061795739,20.827059245926026,20.621865965610468,20.648866653442383,8225300,0.0,0
2012-02-17,20.621860608499034,20.719057291827173,20.405869580996416,20.5246639251709,11184200,0.0,0
2012-02-21,20.864849639178477,20.956647410480066,20.6866571158533,20.827051162719727,16394500,0.0,0
2012-02-22,20.756852216687395,20.843249024857883,20.449063458838623,20.51386260986328,12134000,0.0,0
2012-02-23,20.459872180887434,20.589468479217558,20.4436734160449,20.50847053527832,7668900,0.0,0
2012-02-24,20.513871713685056,20.562470068589754,20.395075277281737,20.4544734954834,7730700,0.0,0
2012-02-27,20.265473656339204,20.62726177226885,20.260074756039998,20.470666885375977,8254100,0.0,0
2012-02-28,20.530062172770396,20.627258843256545,20.41666674382405,20.519262313842773,7107400,0.0,0
2012-02-29,20.540863389516858,20.6110593873929,20.43286685296416,20.55706214904785,8322800,0.0,0
2012-03-01,20.562464466343165,20.611060748144492,20.476065583506827,20.5246639251709,6536500,0.0,0
2012-03-02,20.524670054329547,20.702864713598576,20.497671425312124,20.654266357421875,7349000,0.0,0
2012-03-05,20.632660711662208,20.783856698542355,20.62726181135277,20.7082576751709,7836900,0.0,0
2012-03-06,20.621862505291954,20.800057127738075,20.600264842459065,20.665061950683594,11427300,0.0,0
2012-03-07,20.459876326532765,20.5138756533882,20.292483562940166,20.427478790283203,10982200,0.0,0
2012-03-08,20.54626384874143,20.57866343012495,20.438267303992458,20.470666885375977,7471100,0.0,0
2012-03-09,20.470664075987305,20.50846255248258,20.411265881534025,20.492263793945312,5986400,0.0,0
2012-03-12,20.492264952228933,20.648859826481974,20.427467854554866,20.584060668945312,5409900,0.0,0
2012-03-13,20.70285597151159,20.821652360860746,20.659656535434628,20.800052642822266,6907600,0.0,0
2012-03-14,20.821661067378134,20.84865969628439,20.567869423959966,20.611066818237305,8008900,0.0,0
2012-03-15,20.589465329406398,20.68126106262207,20.513868358555143,20.68126106262207,8144100,0.0,0
2012-03-16,20.7622533549199,20.821651547273547,20.578659878491536,20.724454879760742,13560700,0.0,0
2012-03-19,20.70285877486146,20.78925559885179,20.659659332934915,20.7082576751709,6736500,0.0,0
2012-03-20,20.621860851180568,20.794654499161226,20.61106099069893,20.7082576751709,6165300,0.0,0
2012-03-21,20.68665313720703,20.778448830991156,20.611054138966946,20.68665313720703,5101600,0.0,0
2012-03-22,20.643459772172495,20.708256872688548,20.551664051429984,20.632659912109375,5664500,0.0,0
2012-03-23,20.659665259280015,20.702864713598576,20.58406827408589,20.654266357421875,5424500,0.0,0
2012-03-26,20.724463723064293,20.859458923339844,20.713663859858652,20.859458923339844,5980100,0.0,0
2012-03-27,20.87025610037949,20.881053902332077,20.692061470216434,20.713661193847656,8586100,0.0,0
2012-03-28,20.719095194068057,20.800708027771503,20.621158133181236,20.659244537353516,9181600,0.29,0
2012-03-29,20.63204173722047,20.68101027609741,20.506900376880218,20.572193145751953,8310100,0.0,0
2012-03-30,20.604836474761665,20.817032774619417,20.5885143210968,20.68100929260254,8396300,0.0,0
2012-04-02,20.702774128534497,20.942176791953344,20.691892000601488,20.882326126098633,8850300,0.0,0
2012-04-03,20.914973530244716,20.931297762337433,20.795274256370707,20.83336067199707,9606900,0.0,0
2012-04-04,20.751750022033363,20.87689142428954,20.74086789024312,20.795278549194336,6919700,0.0,0
2012-04-05,20.72998241880529,20.762628808916613,20.577636749393946,20.697338104248047,7630700,0.0,0
2012-04-09,20.534116258160584,20.599406981758584,20.43617913498624,20.45250129699707,5726500,0.0,0
2012-04-10,20.40353136166452,20.441617787495264,20.131484276842325,20.142366409301758,11253100,0.0,0
2012-04-11,20.256619411741028,20.305587954861835,19.995454540281372,20.060745239257812,16925900,0.0,0
2012-04-12,20.08250976544993,20.218533267539282,20.049863377749073,20.207651138305664,10981000,0.0,0
2012-04-13,20.185883563713535,20.408961987470725,20.185883563713535,20.32190704345703,8400600,0.0,0
2012-04-16,20.37087520388652,20.523222909768915,20.294702388722097,20.447050094604492,7513700,0.0,0
2012-04-17,20.572193199372624,20.9693815377192,20.5341067885417,20.936735153198242,11345400,0.0,0
2012-04-18,20.849680689253884,20.90408925583639,20.768065763826353,20.806154251098633,8007500,0.0,0
2012-04-19,20.860560403121173,20.876882556095918,20.70277267252018,20.784387588500977,8440300,0.0,0
2012-04-20,20.80615166999672,21.089078671791835,20.80615166999672,20.969379425048828,7208600,0.0,0
2012-04-23,20.784389005722243,20.833357543539023,20.6102791102745,20.670129776000977,6264900,0.0,0
2012-04-24,20.757191159049423,20.96394542677232,20.724544765199024,20.871450424194336,7131100,0.0,0
2012-04-25,20.985702340853727,21.154372203353468,20.95305595843499,21.07819938659668,10149700,0.0,0
2012-04-26,21.040107841448986,21.268628334024516,21.023785690391193,21.21965980529785,6396200,0.0,0
2012-04-27,21.306716283790617,21.513472539598002,21.301276258227485,21.437299728393555,9271500,0.0,0
2012-04-30,21.627738698205583,21.725675794204047,21.529801602207115,21.693029403686523,13825600,0.0,0
2012-05-01,21.63862081379714,21.758322170059962,21.584210162971264,21.6331787109375,9522200,0.0,0
2012-05-02,21.61686423174977,21.720241391707216,21.551573503121638,21.600542068481445,12610800,0.0,0
2012-05-03,21.508039260257124,21.61141846833974,21.410102155523226,21.540685653686523,9932500,0.0,0
2012-05-04,21.37745044250145,21.644055298840993,21.3502461618316,21.35568618774414,13304400,0.0,0
2012-05-07,21.355691640789203,21.48083302426746,21.301283065556603,21.36113166809082,12434500,0.0,0
2012-05-08,21.301278532306938,21.420977787455577,21.252309994797237,21.312158584594727,12279300,0.0,0
2012-05-09,21.143485756401702,21.29583135879205,21.132603631151937,21.14892578125,10485200,0.0,0
2012-05-10,21.235983663922006,21.333920729250366,21.148928725358292,21.252307891845703,8234200,0.0,0
2012-05-11,21.197903669716823,21.361131469450847,21.181581512409647,21.241432189941406,8036600,0.0,0
2012-05-14,21.143495094990175,21.361131469450847,21.110848704821738,21.241432189941406,10892500,0.0,0
2012-05-15,21.268640287887735,21.328490976142607,21.089088223123117,21.121734619140625,7439900,0.0,0
2012-05-16,21.148932700670127,21.176136984918536,21.007469177246094,21.007469177246094,8115700,0.0,0
2012-05-17,20.97481841162964,21.067315449427035,20.85511917081704,20.865999221801758,7248900,0.0,0
2012-05-18,20.90408642937672,21.105402664730143,20.866000022807906,20.942174911499023,13789000,0.0,0
2012-05-21,21.018357739623944,21.083648456915913,20.876892097344452,20.996593475341797,7679400,0.0,0
2012-05-22,20.996587793190493,21.159815580024524,20.958501378781015,21.116289138793945,9781600,0.0,0
2012-05-23,21.040116845588972,21.165260309098283,20.833362591865278,20.893213272094727,11000000,0.0,0
2012-05-24,20.876879294625382,21.072753401936225,20.871439269668173,21.050989151000977,8102700,0.0,0
2012-05-25,21.02923484751027,21.061879160579714,20.914973525105268,20.985706329345703,6783400,0.0,0
2012-05-29,21.0727603732118,21.12717101855002,20.93129684644022,21.029233932495117,6341100,0.0,0
2012-05-30,20.84423874676846,20.936733716567133,20.800710237060677,20.89864730834961,6122500,0.0,0
2012-05-31,20.876885909723185,20.942178683217758,20.789830953950958,20.822477340698242,9231400,0.0,0
2012-06-01,20.670134740886937,20.724543317950456,20.43617412351629,20.441614151000977,8601300,0.0,0
2012-06-04,20.387206557615905,20.523230082391983,20.349120136722945,20.485143661499023,6483200,0.0,0
2012-06-05,20.41984891601322,20.512345983274486,20.283825404287995,20.457935333251953,7592000,0.0,0
2012-06-06,20.506900365661767,20.664688110351562,20.49601823752243,20.664688110351562,7809000,0.0,0
2012-06-07,20.838797829308653,20.9204127518712,20.675570059737257,20.757184982299805,9315200,0.0,0
2012-06-08,20.80071214910812,20.855122791244398,20.768065763826353,20.806154251098633,8430300,0.0,0
2012-06-11,20.904088961378463,20.985703885656353,20.740861188376424,20.75174331665039,6874900,0.0,0
2012-06-12,20.833361125746567,20.947620375114223,20.784392579509852,20.88776969909668,8035500,0.0,0
2012-06-13,20.8659999572298,20.98570127781472,20.773504991725805,20.914968490600586,6975200,0.0,0
