,Open,High,Low,Close,Volume,Dividends,Stock Splits
,MMM,MMM,MMM,MMM,MMM,MMM,MMM
Date,,,,,,,
2012-01-03,62.97661339644675,63.487885068322676,62.67586434187661,62.77360534667969,3380100,0.0,0
2012-01-04,62.50294230524023,63.35255895781585,62.48790743131779,63.29240798950195,3007400,0.0,0
2012-01-05,62.803694329678294,63.059333088738676,62.179640911117104,63.0067024230957,3116400,0.0,0
2012-01-06,62.99165522721103,63.33751467046868,62.645795783953375,62.68339157104492,2839200,0.0,0
2012-01-09,62.84129463227412,63.20218901221786,62.60069646687405,63.0593376159668,2796600,0.0,0
2012-01-10,63.600670426579626,64.05179694384772,63.187145434166474,63.382633209228516,3438400,0.0,0
2012-01-11,62.58564457224544,63.074361120949014,62.465348379388146,62.984134674072266,4465300,0.0,0
2012-01-12,63.435251672920295,63.63825397760441,62.97661067518897,63.36758041381836,3649900,0.0,0
2012-01-13,62.96910487579464,63.247298807183974,62.457833108246156,62.8563232421875,3092900,0.0,0
2012-01-17,63.7961536375943,64.17960885531458,63.254806444650725,63.32999801635742,2694900,0.0,0
2012-01-18,63.26231265388726,63.99914744373656,63.1720862297291,63.961551666259766,3721100,0.0,0
2012-01-19,63.98412466198249,64.83374128462569,63.84878785620024,64.51043701171875,3413700,0.0,0
2012-01-20,64.24726665396518,64.4352340879865,63.87885208945042,64.39764404296875,3522600,0.0,0
2012-01-23,64.43526504262962,64.7059387365566,64.14203616359433,64.36759948730469,3494800,0.0,0
2012-01-24,64.1044257564638,64.6156974898126,63.63074407426148,64.6081771850586,3895600,0.0,0
2012-01-25,64.13449147049774,65.15703478144627,63.90892825272845,65.02169799804688,4412000,0.0,0
2012-01-26,65.79613185242127,66.15702616629174,65.41267662466115,65.84876251220703,4898900,0.0,0
2012-01-27,65.52545947141078,66.01417602786071,65.16455941449509,65.75853729248047,3747200,0.0,0
2012-01-30,65.03672146366979,65.85625658764451,64.97657051797168,65.66828918457031,3148400,0.0,0
2012-01-31,66.07430435995903,66.07430435995903,64.50289950723968,65.19461822509766,3552100,0.0,0
2012-02-01,65.80365880636346,66.14952404869663,65.58562155786305,65.67584228515625,3005500,0.0,0
2012-02-02,65.60064799240813,65.99161781176667,65.4577908774925,65.7359848022461,2288000,0.0,0
2012-02-03,66.22470116531291,66.38259315356316,65.76606007435703,65.9615478515625,3195500,0.0,0
2012-02-06,65.52546130711372,66.11943920173945,65.52546130711372,65.83372497558594,2189300,0.0,0
2012-02-07,65.65326735109805,66.32995128377591,65.17959146637907,66.08183288574219,2959100,0.0,0
2012-02-08,66.25476464234157,66.3825811235268,65.92394011568713,66.14198303222656,2522800,0.0,0
2012-02-09,65.81870155375906,66.29989790264311,65.75855057607032,66.17959594726562,3031600,0.0,0
2012-02-10,65.56304706084669,65.83372065929213,65.22470793094566,65.51793670654297,3085700,0.0,0
2012-02-13,65.84125141160835,66.23222126234083,65.53298771443107,66.1871109008789,2530600,0.0,0
2012-02-14,65.8637994080993,66.16454850310305,65.57809092281727,66.15702819824219,2850300,0.0,0
2012-02-15,66.17213800015955,66.39922383586297,65.66498617879228,65.8617935180664,3647000,0.59,0
2012-02-16,65.84667337540225,66.42952452003387,65.82396593925407,66.34626007080078,2548800,0.0,0
2012-02-17,66.60363162606481,66.72474567571456,66.21759358663665,66.27814483642578,2834600,0.0,0
2012-02-21,66.41439017174089,66.64904718121888,66.15703149848572,66.30841827392578,2406700,0.0,0
2012-02-22,66.3462552101873,66.67930720768518,66.19486268856625,66.42951965332031,2650000,0.0,0
2012-02-23,66.52033454826984,66.7474203925136,66.058597566665,66.53547668457031,3531300,0.0,0
2012-02-24,66.6414649970381,66.95938063746891,66.52035097685436,66.7625732421875,2524800,0.0,0
2012-02-27,66.16456572257698,66.8533826747715,65.92990884377991,66.66414642333984,3012900,0.0,0
2012-02-28,66.48248575496244,66.76255173008492,66.02831987568256,66.43706512451172,2497700,0.0,0
2012-02-29,66.71716949765631,66.8534199055665,66.04348852938803,66.30841827392578,3277700,0.0,0
2012-03-01,66.39923574515934,66.77770835585905,65.9829135633762,66.22513580322266,2525200,0.0,0
2012-03-02,66.20999708664293,66.28569045108591,65.88451042200796,66.24784088134766,2820500,0.0,0
2012-03-05,66.15702261686414,66.19486641812594,65.38493515068124,65.899658203125,2701900,0.0,0
2012-03-06,64.8853566495902,64.9913285371159,64.2116757467333,64.30250549316406,3547900,0.0,0
2012-03-07,64.52202884986579,64.84751562592535,64.24952802455846,64.69612884521484,3150800,0.0,0
2012-03-08,65.14271944116729,65.80126401984975,65.08216819804042,65.63473510742188,2603200,0.0,0
2012-03-09,65.71041563631063,66.05860976006485,65.58930739871671,65.70285034179688,1958300,0.0,0
2012-03-12,65.92995025793422,66.4219659757245,65.8239783525684,66.26300811767578,2049300,0.0,0
2012-03-13,66.42951982783704,67.19403040765351,66.24028350658925,67.17889404296875,3107100,0.0,0
2012-03-14,67.06533594068468,67.55735141975671,67.06533594068468,67.26971435546875,2960900,0.0,0
2012-03-15,67.36814609103733,68.12509155273438,67.23189567693044,68.12509155273438,3252200,0.0,0
2012-03-16,68.03425263918356,68.12508816908837,67.64821463091745,67.79203033447266,5007100,0.0,0
2012-03-19,67.76174715617658,68.04939009354086,67.51952486815316,67.92827606201172,2585400,0.0,0
2012-03-20,67.49681387923633,67.9207071922477,67.17889822575374,67.63306427001953,2485300,0.0,0
2012-03-21,67.68602561403304,67.85255445058587,67.21672337469234,67.29998779296875,2433800,0.0,0
2012-03-22,66.98966999616763,67.20161379079394,66.39925348969858,67.04265594482422,3064200,0.0,0
2012-03-23,67.08803748741173,67.11831598231853,66.6263005463894,66.95935821533203,2326100,0.0,0
2012-03-26,67.30756897465112,67.63305565701418,67.0653467302205,67.4589614868164,2572500,0.0,0
2012-03-27,67.65578639589388,67.68606490875717,67.31516323249461,67.47412109375,2308400,0.0,0
2012-03-28,67.58766523390624,67.82988756593636,66.64148334706418,66.95182800292969,2289600,0.0,0
2012-03-29,66.52033481072358,67.23186506879729,66.39922659500655,67.19401550292969,2207100,0.0,0
2012-03-30,67.53465542001597,67.58764135595835,67.18646130167544,67.52708435058594,2471800,0.0,0
2012-04-02,67.20918611686827,67.64064478542313,66.64904810989283,67.54224395751953,2640900,0.0,0
2012-04-03,67.53466182582073,67.53466182582073,66.7625743716731,67.20917510986328,2298400,0.0,0
2012-04-04,66.59604417402501,66.64903010936045,65.96777824430924,66.49006652832031,2392700,0.0,0
2012-04-05,66.1267523584018,66.4522391200288,65.83154410658142,66.05862426757812,2048400,0.0,0
2012-04-09,65.2789559706985,65.68013602444685,65.02159736075951,65.34708404541016,1932700,0.0,0
2012-04-10,65.2411205050284,65.40007833294284,63.916466164040116,64.0224380493164,3651000,0.0,0
2012-04-11,64.61284908489029,64.86264241145088,64.43118383604356,64.60527801513672,2527700,0.0,0
2012-04-12,64.87778742028327,65.80126170210254,64.40091391288385,65.74827575683594,2476000,0.0,0
2012-04-13,65.46817001453645,65.54386335789005,64.77178201563231,64.86261749267578,2609700,0.0,0
2012-04-16,65.12758463599005,65.80126559785121,65.03674910656873,65.40008544921875,3060200,0.0,0
2012-04-17,65.6271534062395,66.36139125117651,65.59688067709713,66.19486236572266,2354200,0.0,0
2012-04-18,65.77855776598314,66.33112468531223,65.61959992172262,65.95265197753906,1781600,0.0,0
2012-04-19,65.99805852878488,66.27055928216366,65.19569263271005,65.70285034179688,2565000,0.0,0
2012-04-20,65.84669049114552,66.4598203016924,65.78613923735597,66.21759796142578,3177200,0.0,0
2012-04-23,65.49091481205299,66.03591643525198,65.11244210427982,65.95265197753906,2769900,0.0,0
2012-04-24,67.61794632504034,67.93586206513032,66.89884459860501,66.98210906982422,5701200,0.0,0
2012-04-25,67.35300149609762,67.56494527547959,66.9896651778465,67.21675109863281,2962900,0.0,0
2012-04-26,67.06535760975545,67.7920244609293,66.99723529950546,67.61035919189453,2750900,0.0,0
2012-04-27,67.67846693717006,67.7768677251917,67.17888037867615,67.64061737060547,2618000,0.0,0
