,Open,High,Low,Close,Volume,Dividends,Stock Splits
,MS,MS,MS,MS,MS,MS,MS
Date,,,,,,,
2012-01-03,12.890069298936162,13.323555687269105,12.849174253620662,13.151796340942383,25777400,0.0,0
2012-01-04,12.881889392203718,13.15179558373496,12.677414957406834,13.0372896194458,20699600,0.0,0
2012-01-05,12.75102820910284,13.413525062117628,12.620164671717607,13.315378189086914,30615100,0.0,0
2012-01-06,13.151793736652863,13.290836395187771,12.922782620245702,13.004571914672852,21677700,0.0,0
2012-01-09,13.0863663903523,13.454421069087536,13.02911378699714,13.249946594238281,19102900,0.0,0
2012-01-10,13.634352193978556,13.871541671802005,13.487130385666733,13.814289093017578,25241000,0.0,0
2012-01-11,13.626176119785493,14.018766657590605,13.50349177172341,13.986051559448242,21695000,0.0,0
2012-01-12,14.002411130723852,14.165989755979476,13.617998163339795,14.043305397033691,22256700,0.0,0
2012-01-13,13.560746432372945,13.78157922858561,13.37263029931017,13.601640701293945,22020700,0.0,0
2012-01-17,13.56892651816351,13.89608537176268,13.168156727502467,13.290841102600098,24135700,0.0,0
2012-01-18,13.331733347147141,14.231421227755847,13.110902129556319,14.190526962280273,37202500,0.0,0
2012-01-19,15.073859113634668,15.212901824265684,14.74670025333125,14.95117473602295,46368600,0.0,0
2012-01-20,14.64036802306289,15.065675187088765,14.574936271675526,15.0411376953125,27909000,0.0,0
2012-01-23,14.713982969159565,15.27015378831894,14.656730366013706,14.893919944763184,24346300,0.0,0
2012-01-24,14.599470917593713,14.934808773088934,14.427711628672716,14.836660385131836,19028800,0.0,0
2012-01-25,14.591296891534867,14.926634865072174,14.484969303818401,14.828486442565918,22144000,0.0,0
2012-01-26,14.959348330279198,15.44190649446686,14.77123069066281,14.885737419128418,22780400,0.0,0
2012-01-27,14.721710063864368,15.304016482970276,14.67249988094071,15.222001075744629,26265600,0.05,0
2012-01-30,15.41063451930287,15.418834650832792,14.90214032720353,14.926745414733887,31773300,0.0,0
2012-01-31,15.090779604565867,15.32042247081023,14.803726412838927,15.295817375183105,27734600,0.0,0
2012-02-01,15.738694093019058,16.4768294909177,15.591066700576631,15.90272331237793,51396600,0.0,0
2012-02-02,16.181575019259867,16.18977671503359,15.927328707528396,16.00934410095215,21612100,0.0,0
2012-02-03,16.378409521321792,16.813089971543786,16.271790614678178,16.65726089477539,32521300,0.0,0
2012-02-06,16.821290969848633,16.854096184259696,16.550641302625785,16.821290969848633,22866600,0.0,0
2012-02-07,16.69827786352516,16.796695125208306,16.509641910723143,16.616262435913086,21276100,0.0,0
2012-02-08,16.6080601621041,16.76388931274414,16.485037807099484,16.76388931274414,25262600,0.0,0
2012-02-09,16.845902239409035,16.977126273863057,16.583452606187112,16.68187141418457,21028000,0.0,0
2012-02-10,16.394818161092743,16.394818161092743,15.992944362271285,16.124168395996094,21980700,0.0,0
2012-02-13,16.386616423600415,16.476833533184553,15.960137532874867,16.0257511138916,21993300,0.0,0
2012-02-14,15.804310800292518,15.812512498350024,15.386033585243387,15.623876571655273,31791900,0.0,0
2012-02-15,15.738698098085349,15.869922132690753,15.459846633470391,15.55006217956543,23800300,0.0,0
2012-02-16,15.23020277846802,15.796107367786764,14.926747805230072,15.738697052001953,33070100,0.0,0
2012-02-17,16.009346128966428,16.025749522591813,15.615674067839477,15.714091300964355,16745200,0.0,0
2012-02-21,15.935529166180327,16.017544553236984,15.705886395284363,15.796103477478027,16347600,0.0,0
2012-02-22,15.779702530656476,15.796105923470517,15.32041848205881,15.361425399780273,15979100,0.0,0
2012-02-23,15.52545569740961,15.566462613805463,15.189193977160139,15.558260917663574,17149900,0.0,0
2012-02-24,15.607473098209136,15.607473098209136,15.09077712513165,15.164590835571289,19403600,0.0,0
2012-02-27,15.033369836414254,15.443445392851428,14.934951014571126,15.377833366394043,16093100,0.0,0
2012-02-28,15.320418676318697,15.607471796949628,15.115380956484268,15.345022201538086,21725300,0.0,0
2012-02-29,15.443443722084295,15.673086571998008,15.139987154852385,15.20560073852539,22033200,0.0,0
2012-03-01,15.369628501508469,15.845315986414635,15.27121126425273,15.738697052001953,29812700,0.0,0
2012-03-02,15.763298372542584,15.927329164092104,15.44344004976594,15.47624683380127,22798900,0.0,0
2012-03-05,15.402432556635548,15.402432556635548,14.902140069046471,15.000558853149414,27019000,0.0,0
2012-03-06,14.574081804246472,14.615088723340385,14.13940126600801,14.205013275146484,38827700,0.0,0
