,Open,High,Low,Close,Volume,Dividends,Stock Splits
,NKE,NKE,NKE,NKE,NKE,NKE,NKE
Date,,,,,,,
2012-01-03,21.65205264112205,21.789920223908513,21.503064242166495,21.527524948120117,10944400,0.0,0.0
2012-01-04,21.5052908362189,21.95892348444433,21.460817745752344,21.841068267822266,9440800,0.0,0.0
2012-01-05,21.745445481451362,21.92111703966861,21.569773923234116,21.827722549438477,8393200,0.0,0.0
2012-01-06,21.776586844927017,21.903337052393987,21.68541477991283,21.789928436279297,7760800,0.0,0.0
2012-01-09,21.814389538738794,21.998956139575895,21.72544163621753,21.86998176574707,10045600,0.0,0.0
2012-01-10,21.97671851181481,21.998955062221103,21.72099394079232,21.896665573120117,9812400,0.0,0.0
2012-01-11,21.852187676246608,21.925569809064875,21.745451570819863,21.823280334472656,7002800,0.0,0.0
2012-01-12,21.856634475156564,22.04564765839249,21.73433092901231,22.036752700805664,7516400,0.0,0.0
2012-01-13,21.87887239929558,21.99895178947361,21.801043636181987,21.85886001586914,6534000,0.0,0.0
2012-01-17,21.94780695823594,22.1123611448031,21.803268548862416,22.067886352539062,8242000,0.0,0.0
2012-01-18,21.972268498671916,22.485941765323965,21.947807786138966,22.428125381469727,12278800,0.0,0.0
2012-01-19,22.401443183941595,22.674957685636013,22.352521753025513,22.588233947753906,9158000,0.0,0.0
2012-01-20,22.58156429697632,22.68162963144012,22.46370734536624,22.62826156616211,8949600,0.0,0.0
2012-01-23,22.663835126037682,22.89732312127321,22.497058471309412,22.583782196044922,8329600,0.0,0.0
2012-01-24,22.534861446760807,22.766125285154594,22.46370347314271,22.728322982788086,6564400,0.0,0.0
2012-01-25,22.66383517283481,22.968481140188516,22.65716437807828,22.95069122314453,11383600,0.0,0.0
2012-01-26,22.903996247650586,22.95291767613081,22.634930087549396,22.74833869934082,7528000,0.0,0.0
2012-01-27,22.719422977301935,22.821712435622416,22.57043626821816,22.70608139038086,6934000,0.0,0.0
2012-01-30,22.559320791005156,23.15971774749954,22.430348138015823,22.9907169342041,11892000,0.0,0.0
2012-01-31,23.2531103097586,23.335387394068583,23.00628075336833,23.124135971069336,24751600,0.0,0.0
2012-02-01,23.217534532218455,23.310929050453638,23.06854609994061,23.070770263671875,10000400,0.0,0.0
2012-02-02,23.12636323857633,23.16861386815496,22.808375676184312,22.863967895507812,9372800,0.0,0.0
2012-02-03,23.01517677307129,23.126361201926706,22.926228890679006,23.01517677307129,13192000,0.0,0.0
2012-02-06,22.9128882893036,23.095230692621058,22.832835361355464,23.006282806396484,6230400,0.0,0.0
2012-02-07,22.952916262101972,23.282021257265054,22.89509987777443,23.177509307861328,5231200,0.0,0.0
2012-02-08,23.241995325100866,23.71786630414552,23.241995325100866,23.5555362701416,11142800,0.0,0.0
2012-02-09,23.515504642128672,23.611123310426333,23.397649429316584,23.517728805541992,5847600,0.0,0.0
2012-02-10,23.364302665323105,23.479933758773598,23.295368842104942,23.439908981323242,6210000,0.0,0.0
2012-02-13,23.52662793592914,23.555535279271666,23.26423259241887,23.397653579711914,5875200,0.0,0.0
2012-02-14,23.302029536185493,23.71341152596731,23.190845122918006,23.7111873626709,9526000,0.0,0.0
2012-02-15,23.7823442034811,23.93355506629196,23.640028296899043,23.70451545715332,9935200,0.0,0.0
2012-02-16,23.675613722788572,23.889087633163484,23.47103477074676,23.606679916381836,6658000,0.0,0.0
2012-02-17,23.735658334412733,23.9002125587228,23.63336883355364,23.72231674194336,6957200,0.0,0.0
2012-02-21,23.702298899145962,23.8334974249433,23.28424600149101,23.337614059448242,7308800,0.0,0.0
2012-02-22,23.36207418187572,23.624469530293446,23.344285960699892,23.511062622070312,6237200,0.0,0.0
2012-02-23,23.553308652603544,23.726756087601892,23.468809098679657,23.602230072021484,5860400,0.0,0.0
2012-02-24,23.59555932317867,23.704519587020915,23.48882152637626,23.63558578491211,4675200,0.0,0.0
2012-02-27,23.54441418612809,23.951349605370684,23.468809588388027,23.831270217895508,6077200,0.0,0.0
