,Open,High,Low,Close,Volume,Dividends,Stock Splits
,SCHW,SCHW,SCHW,SCHW,SCHW,SCHW,SCHW
Date,,,,,,,
2012-01-03,10.204511941626219,10.505948566147895,10.195645959609326,10.381827354431152,10761500,0.0,0
2012-01-04,10.337497886637365,10.443887130170594,10.177913598584247,10.399558067321777,7935700,0.0,0
2012-01-05,10.310899009903714,10.709858815763683,10.133583634577773,10.56800651550293,12235400,0.0,0
2012-01-06,10.35522974131641,10.763055593334187,10.35522974131641,10.674397468566895,13944700,0.0,0
2012-01-09,10.665529148112315,10.780784346832514,10.594603002054708,10.745321273803711,11765500,0.0,0
2012-01-10,10.896040621988467,11.055624889136823,10.78965139239171,10.913772583007812,12100700,0.0,0
2012-01-11,10.913773271400188,11.08222268417682,10.736457032048166,11.046759605407715,10847100,0.0,0
2012-01-12,11.073355122278729,11.126550155591525,10.72759036501785,11.055624008178711,8354800,0.0,0
2012-01-13,10.807380744943188,10.860575773817311,10.5946023204593,10.780783653259277,14409200,0.0,0
2012-01-17,11.135415849867016,11.162012943088241,10.700992151219797,10.771918296813965,16721600,0.0,0
2012-01-18,10.7364580563896,10.8162502026095,10.559142645626801,10.65666675567627,18586600,0.0,0
2012-01-19,10.709859934347959,11.170880803852832,10.683262836647753,11.046759605407715,12484500,0.0,0
2012-01-20,11.05562574321843,11.374793456665406,10.993564720362752,11.357062339782715,15521700,0.0,0
2012-01-23,11.330464001189059,11.392525021881127,11.15314861101131,11.206343650817871,12990400,0.0,0
2012-01-24,11.02016400529148,11.162016339644913,10.913774754526406,11.064492225646973,8896700,0.0,0
2012-01-25,11.02902848982184,11.21520987902694,10.69212963840933,10.763055801391602,21550700,0.0,0
2012-01-26,10.505947384880148,10.69212875876811,10.213376775271419,10.293168067932129,26382400,0.0,0
2012-01-27,10.248840757997026,10.408424202903374,10.213377676294888,10.34636402130127,17142400,0.0,0
2012-01-30,10.239973906189519,10.390692201994973,10.05379253169493,10.3197660446167,17161800,0.0,0
2012-01-31,10.40842258015397,10.443885656327156,10.177912162275048,10.328630447387695,14017400,0.0,0
2012-02-01,10.364096620099438,10.630070193617945,10.355231482537278,10.559144020080566,19460900,0.0,0
