,Open,High,Low,Close,Volume,Dividends,Stock Splits
,SPG,SPG,SPG,SPG,SPG,SPG,SPG
Date,,,,,,,
2012-01-03,81.15410120815868,81.82832252047531,78.99535493894031,80.02833557128906,2272163,0.0,0.0
2012-01-04,79.42213806665048,79.85512631263796,78.53142526564946,78.64276123046875,1672843,0.0,0.0
2012-01-05,78.46959371152066,79.86752422856,78.26547268987716,79.05722045898438,2244206,0.0,0.0
2012-01-06,79.04485216881214,79.31701688351461,78.3520747311963,78.44485473632812,1792643,0.0,0.0
2012-01-09,78.19742298109833,78.89020030007242,78.10463797536521,78.38298797607422,1225320,0.0,0.0
2012-01-10,79.06340235428829,79.51494672885659,78.7541256602821,78.85309600830078,1458011,0.0,0.0
2012-01-11,78.42009359134032,79.34792350721986,78.32112326104345,79.19947052001953,1226277,0.0,0.0
2012-01-12,79.57677952684435,79.59533552171757,77.9066898233583,78.5623550415039,1462688,0.0,0.0
2012-01-13,77.80772079843668,78.51287369782658,77.64689715703051,78.50668334960938,1258273,0.0,0.0
2012-01-17,78.55618166493511,79.79328831000221,78.55618166493511,79.29844665527344,1403160,0.0,0.0
2012-01-18,79.35412282257651,79.94793487601532,79.13144079429154,79.47164916992188,1420168,0.0,0.0
2012-01-19,79.6510217407986,81.3582237173388,79.36648640587845,81.16647338867188,2206150,0.0,0.0
2012-01-20,81.25303372663079,81.58705156105546,80.7148899805671,81.4385986328125,2411734,0.0,0.0
2012-01-23,81.42626742493843,82.03245009092176,80.92524043055133,81.42008209228516,1201722,0.0,0.0
2012-01-24,81.07986375113315,82.72521209716797,80.91904011543448,82.72521209716797,1663808,0.0,0.0
2012-01-25,82.4530597815407,84.03655504878537,82.18708045402617,83.99944305419922,1907554,0.0,0.0
2012-01-26,84.30253075574795,84.92108407505378,83.7767624409341,84.45098876953125,1608851,0.0,0.0
2012-01-27,84.26542953887133,84.75408592098815,83.72729049015766,84.54996490478516,1374991,0.0,0.0
2012-01-30,83.93758204243032,84.12933737467071,83.2571754307078,83.82006072998047,1274962,0.0,0.0
2012-01-31,84.08601218544426,84.27158213502905,83.32519646139912,84.03652954101562,2205831,0.0,0.0
2012-02-01,84.62418442142639,84.98294376822902,83.86336839684273,84.43243408203125,1411877,0.0,0.0
2012-02-02,84.45717492569881,85.18707431405903,83.90666524268401,85.02006530761719,1417829,0.0,0.0
2012-02-03,85.94788304664735,86.36850574285388,84.66748404208715,85.81180572509766,1840266,0.0,0.0
2012-02-06,85.63861551886308,85.68190783150771,84.49428381473595,85.0633544921875,1247856,0.0,0.0
2012-02-07,84.87778610118752,85.29220836977056,84.63654309900676,85.03860473632812,1411133,0.0,0.0
2012-02-08,84.93345225805862,85.44684989280223,84.2283043038915,85.1375732421875,1155587,0.0,0.0
2012-02-09,85.08808193790888,85.54581655145988,83.93138979005187,85.29839324951172,1341825,0.0,0.0
2012-02-10,84.37676244019572,85.02623738767497,83.94995945774805,84.59325408935547,1574516,0.0,0.0
2012-02-13,85.57116752071028,85.62099631103376,84.78634386679303,85.25972747802734,821486,0.893697,0.0
2012-02-14,84.99813223221614,85.02928028361455,84.04512612832929,84.57457733154297,976259,0.0,0.0
2012-02-15,84.88601652587978,85.35317667288658,84.33787952863271,84.75521087646484,1063000,0.0,0.0
2012-02-16,84.75521500685386,86.08194221060502,84.68046675286772,85.91376495361328,1635107,0.0,0.0
2012-02-17,86.07571142459176,86.2563458667962,85.24104875843162,85.80787658691406,1206930,0.0,0.0
2012-02-21,86.01965925723623,86.14424136882236,83.96416049928384,84.59326934814453,1459499,0.0,0.0
2012-02-22,84.44375951482212,84.87354800512003,83.72745041590633,84.02642822265625,987208,0.0,0.0
2012-02-23,84.08871920433572,84.58079368493948,83.67761651153195,84.5683364868164,1201934,0.0,0.0
2012-02-24,84.83618549077505,85.54626606662502,84.10741406414577,85.12271118164062,856140,0.0,0.0
2012-02-27,84.3503320859575,85.49643481654718,83.91432001401351,85.22236633300781,928318,0.0,0.0
2012-02-28,85.36562046179988,85.70819845388839,84.58702033910608,84.8984603881836,1077244,0.0,0.0
2012-02-29,85.12894693303342,85.80165600692025,84.21331233158635,84.3877182006836,1356388,0.0,0.0
2012-03-01,84.574578716708,85.05419607648831,84.21330475817025,84.96076202392578,971795,0.0,0.0
2012-03-02,85.08532212565534,85.66460710862943,84.94829294338076,85.49019622802734,1032173,0.0,0.0
2012-03-05,85.50268775512173,86.24391661474557,85.02930392313313,86.2127685546875,1213840,0.0,0.0
2012-03-06,85.54627250195578,86.07571867380521,85.09779308114067,85.17254638671875,1417192,0.0,0.0
2012-03-07,85.7829584252014,86.16290804039191,84.76766136137444,86.09439849853516,1219048,0.0,0.0
2012-03-08,85.79540961887521,86.15044481160179,84.23198076223305,86.10684967041016,2344872,0.0,0.0
2012-03-09,85.36562363516138,85.48397207058966,84.95452598810861,84.99189758300781,4735452,0.0,0.0
2012-03-12,85.29087100741751,87.17819190837244,84.98565452810566,86.67366027832031,3462829,0.0,0.0
2012-03-13,87.47095593236688,88.2246417319135,86.77956623115945,87.79485321044922,2516865,0.0,0.0
2012-03-14,87.89451040056119,88.38035120803488,87.20311067882903,87.9007339477539,1502763,0.0,0.0
2012-03-15,88.15613327337196,88.38037298762904,87.58309194185821,87.9505844116211,1837396,0.0,0.0
2012-03-16,88.13118611903664,88.52983659693099,87.79483172423564,88.3865737915039,5181594,0.0,0.0
2012-03-19,88.23086659713582,89.69463280226476,88.03154132925583,89.43302154541016,1848344,0.0,0.0
2012-03-20,88.89112708278671,89.70086522590655,88.71049264530508,89.3832015991211,1525618,0.0,0.0
2012-03-21,89.46418783637607,90.24901166383187,89.15274772482817,89.83168029785156,1521578,0.0,0.0
2012-03-22,89.23992973241026,89.23992973241026,88.25578079928476,88.9284896850586,1904365,0.0,0.0
2012-03-23,89.19009672762392,89.92509156751159,88.63572619525267,89.45793151855469,1335234,0.0,0.0
2012-03-26,90.24898897383218,90.3797945960488,89.37073131308699,90.0309829711914,1595882,0.0,0.0
2012-03-27,90.20535959739642,90.95282153910065,89.70706173941831,90.0807876586914,1136772,0.0,0.0
2012-03-28,89.68841462150229,90.39849522461208,88.64820306514326,89.86904907226562,1647969,0.0,0.0
2012-03-29,89.50775923422663,90.26144491242789,88.9596223585965,90.14933013916016,1392105,0.0,0.0
2012-03-30,90.72239801455994,91.15218659335785,89.99363661902986,90.7410888671875,1857911,0.0,0.0
2012-04-02,90.84073563153181,91.61311229206942,90.53552919929358,91.5259017944336,1534653,0.0,0.0
2012-04-03,91.23935651987068,91.65046421187472,90.82203538433903,91.3141098022461,978066,0.0,0.0
2012-04-04,90.50436752254666,91.19576723253162,89.925092691736,90.72860717773438,1590035,0.0,0.0
2012-04-05,90.56666267333196,91.19577646030052,90.14310781792906,90.8095932006836,1154099,0.0,0.0
2012-04-09,89.68218895304518,90.67256158305474,89.09668036321244,90.0995101928711,1193749,0.0,0.0
2012-04-10,90.18670488539536,90.82204216246073,88.17480182416149,88.28069305419922,1407731,0.0,0.0
2012-04-11,89.09668242064085,89.49532292177993,88.5547790686476,89.2959976196289,1245517,0.0,0.0
2012-04-12,89.39564344708283,90.77220916748047,88.58589533985112,90.77220916748047,1196300,0.0,0.0
2012-04-13,90.4732217550042,90.85940494214043,90.00606174061555,90.15554809570312,1134965,0.0,0.0
