,Open,High,Low,Close,Volume,Dividends,Stock Splits
,T,T,T,T,T,T,T
Date,,,,,,,
2012-01-03,12.61860780173115,12.651749218574604,12.55232496804424,12.585466384887695,43699017,0.0,0.0
2012-01-04,12.66832126702197,12.709747256125027,12.57303877205939,12.606180191040039,49271204,0.0,0.0
2012-01-05,12.631031349303274,12.635174155579877,12.502607493218196,12.59374713897705,45621068,0.0,0.0
2012-01-06,12.639990295077034,12.648397595836078,12.442425096406735,12.476053237915039,60348979,0.332326,0.0
2012-01-09,12.530697312436084,12.547510849314847,12.400388420896878,12.467644691467285,35470092,0.0,0.0
2012-01-10,12.526495348655196,12.576937027607624,12.50127450917898,12.50968074798584,38481001,0.0,0.0
2012-01-11,12.497068841218201,12.623174079765972,12.497068841218201,12.606359481811523,31379594,0.0,0.0
2012-01-12,12.644192328122921,12.715652252378526,12.61476784075786,12.661006927490234,35100696,0.0,0.0
2012-01-13,12.631580754847947,12.652597939725284,12.530696356687052,12.639986991882324,29256163,0.0,0.0
2012-01-17,12.736671670632948,12.808131601447558,12.682025279201156,12.715653419494629,31114265,0.0,0.0
2012-01-18,12.74507452763353,12.757684412392363,12.673613560205302,12.749277114868164,29147860,0.0,0.0
2012-01-19,12.745079761543625,12.79972509483671,12.736672460566874,12.787114143371582,33793776,0.0,0.0
2012-01-20,12.787109854952018,12.829145284210432,12.75768537292939,12.824941635131836,35013312,0.0,0.0
2012-01-23,12.824939792392362,12.845958034765355,12.719851765109576,12.778701782226562,25402661,0.0,0.0
2012-01-24,12.694637494937336,12.694637494937336,12.576938461417251,12.648398399353027,32227616,0.0,0.0
2012-01-25,12.635783601295325,12.711447166846964,12.488661181086712,12.698837280273438,37253123,0.0,0.0
2012-01-26,12.568530589965045,12.602158729243936,12.349947153888351,12.379371643066406,74148237,0.0,0.0
2012-01-27,12.396185374741222,12.412998912438468,12.25326552743985,12.257469177246094,48138654,0.0,0.0
2012-01-30,12.240655517728372,12.349947236497776,12.19862007796663,12.333133697509766,38969822,0.0,0.0
2012-01-31,12.41720369427569,12.41720369427569,12.286894784513263,12.362558364868164,38887469,0.0,0.0
2012-02-01,12.572732722786741,12.581140022683657,12.434017582126454,12.442423820495605,40535319,0.0,0.0
2012-02-02,12.555914540722652,12.572728072770243,12.492861937871284,12.522286415100098,34024284,0.0,0.0
2012-02-03,12.597959228630032,12.639993620427985,12.5517201238185,12.58955192565918,34813786,0.0,0.0
2012-02-06,12.5391085085917,12.602162216022208,12.480259513953195,12.5979585647583,31203105,0.0,0.0
2012-02-07,12.547512189513583,12.67361744492047,12.526495000788366,12.627379417419434,32015114,0.0,0.0
2012-02-08,12.627381033171599,12.67361906658908,12.618973731994629,12.618973731994629,26632525,0.0,0.0
2012-02-09,12.63578396670416,12.63578396670416,12.560121460492088,12.606359481811523,23929844,0.0,0.0
2012-02-10,12.534900113601449,12.597952730302472,12.484457383324067,12.543306350708008,33100265,0.0,0.0
2012-02-13,12.576936678340005,12.661007556296456,12.572733028289402,12.627379417419434,30508535,0.0,0.0
2012-02-14,12.661005238287258,12.673615124602623,12.547509892283403,12.639986991882324,28635869,0.0,0.0
2012-02-15,12.602156822453283,12.639987544581166,12.513882306747842,12.555917739868164,30492117,0.0,0.0
2012-02-16,12.568532047988661,12.686230018354536,12.547513795046237,12.618973731994629,31175831,0.0,0.0
2012-02-17,12.6694163310987,12.673618920110686,12.61056628506801,12.61476993560791,41467680,0.0,0.0
2012-02-21,12.6525955782487,12.77870184855908,12.639984632759443,12.753479957580566,33614771,0.0,0.0
2012-02-22,12.715650999349062,12.766093730952521,12.694633813738742,12.728261947631836,20829036,0.0,0.0
2012-02-23,12.703041112542317,12.81233281307634,12.703041112542317,12.803925514221191,29748824,0.0,0.0
2012-02-24,12.79131173252094,12.816533623499454,12.732462776625868,12.753479957580566,24194379,0.0,0.0
2012-02-27,12.740874177327147,12.79131585247614,12.7324668776264,12.76189136505127,40556636,0.0,0.0
2012-02-28,12.782910410636875,12.858573989601702,12.761892160075643,12.833352088928223,26874552,0.0,0.0
2012-02-29,12.8165375236714,12.879590147250294,12.808130224120156,12.858572959899902,35125323,0.0,0.0
2012-03-01,12.83755445240739,12.887997187170962,12.795519017025697,12.875386238098145,28574568,0.0,0.0
2012-03-02,12.8922027612234,13.030917914091289,12.862777208994604,12.976272583007812,31170138,0.0,0.0
2012-03-05,12.967865343272921,13.081360717819145,12.925830962947234,13.026714324951172,51997717,0.0,0.0
2012-03-06,12.94684773818714,13.018307668589655,12.887998758394891,12.917423248291016,33692755,0.0,0.0
2012-03-07,12.90060819769544,13.018307214704171,12.90060819769544,12.980475425720215,21902270,0.0,0.0
2012-03-08,13.06034165667904,13.093969795772114,12.980475489787862,13.030917167663574,24819174,0.0,0.0
2012-03-09,13.030916207810602,13.106579780578613,13.030916207810602,13.106579780578613,25423448,0.0,0.0
2012-03-12,13.114984559431873,13.249497080042891,13.106577261511806,13.215868949890137,27235739,0.0,0.0
2012-03-13,13.249502937437684,13.299945685730512,13.215874792418461,13.29574203491211,31464330,0.0,0.0
2012-03-14,13.283125358325476,13.367196215408654,13.207461799256121,13.220072746276855,32445944,0.0,0.0
2012-03-15,13.203262090989924,13.304147574211758,13.178041250948388,13.299943923950195,26484237,0.0,0.0
2012-03-16,13.32515924584609,13.32936289436686,13.245292047006261,13.27892017364502,37954181,0.0,0.0
2012-03-19,13.224279539596447,13.34197855519247,13.178040451053763,13.304146766662598,26143704,0.0,0.0
2012-03-20,13.283125080277674,13.3798058208303,13.245293301534907,13.362992286682129,24010872,0.0,0.0
2012-03-21,13.388213010151937,13.438655735242605,13.379805712382243,13.38400936126709,27916937,0.0,0.0
2012-03-22,13.367195600732034,13.392416432086224,13.2663112137878,13.329363822937012,106260930,0.0,0.0
2012-03-23,13.308351270670851,13.333572110799937,13.190652247522037,13.24950122833252,102966288,0.0,0.0
2012-03-26,13.287328729196593,13.3798058208303,13.278921431358755,13.362992286682129,100051635,0.0,0.0
2012-03-27,13.362996554817958,13.430252835947284,13.28312932290394,13.299943923950195,36945955,0.0,0.0
2012-03-28,13.253703270134517,13.270517869198514,13.11498707396742,13.182243347167969,41556653,0.0,0.0
2012-03-29,13.051932996681247,13.119189262390137,12.934234000926889,13.119189262390137,38019322,0.0,0.0
2012-03-30,13.165430554068045,13.190652456123846,13.098174271641636,13.127598762512207,28791307,0.0,0.0
2012-04-02,13.148612836214411,13.278921709318565,13.1444091872075,13.220072746276855,28726563,0.0,0.0
2012-04-03,13.21166706085205,13.283126979636746,13.169631627179703,13.21166706085205,29136474,0.0,0.0
2012-04-04,13.190649181939188,13.308348177734077,13.190649181939188,13.270516395568848,35226212,0.0,0.0
2012-04-05,13.253465617801576,13.2833059992165,13.10852677614789,13.189521789550781,28431046,0.332326,0.0
2012-04-09,13.074422305307548,13.15115424727976,13.023266600794488,13.061633110046387,25451649,0.0,0.0
2012-04-10,13.010474277199805,13.053103841288594,12.767487161384432,12.844220161437988,46030978,0.0,0.0
2012-04-11,12.955057379945435,13.006211998716672,12.903901684642804,12.980634689331055,28589926,0.0,0.0
2012-04-12,13.125574487977344,13.163940990081514,13.078681857287496,13.146888732910156,26054864,0.0,0.0
