,Open,High,Low,Close,Volume,Dividends,Stock Splits
,WFC,WFC,WFC,WFC,WFC,WFC,WFC
Date,,,,,,,
2012-01-03,20.80998539928889,21.2419750096398,20.80998539928889,21.174942016601562,40071200,0.0,0
2012-01-04,21.107907131737033,21.36859081234248,20.88446478871052,21.271764755249023,27519200,0.0,0
2012-01-05,21.22708033434204,22.03147490071368,21.040877875268865,21.614381790161133,48435100,0.0,0
2012-01-06,21.480314954027143,21.659069137287783,21.19728643173882,21.55479621887207,32303500,0.0,0
2012-01-09,21.711210079642143,21.88251602973005,21.59948886961143,21.82293128967285,25720100,0.0,0
2012-01-10,22.150640972353337,22.19532915792331,21.73354792560605,21.90485382080078,29860100,0.0,0
2012-01-11,21.785681939257064,22.10595031130298,21.659064243811276,22.061262130737305,30908700,0.0,0
2012-01-12,22.1729795279795,22.299597201928428,21.778229974936036,22.053810119628906,29175900,0.0,0
2012-01-13,21.524994627038176,22.076153495812516,21.487754719657893,22.053810119628906,43051100,0.0,0
2012-01-17,22.321952912187292,22.858216966690993,22.091062233504974,22.217679977416992,50040400,0.0,0
2012-01-18,22.053813244541566,22.560284012101604,21.97188373196226,22.523042678833008,42454000,0.0,0
2012-01-19,22.6124311879484,22.672015928840253,22.336850873440905,22.45602035522461,33156700,0.0,0
2012-01-20,22.44111717362819,22.768833861855097,22.314499459127692,22.746490478515625,37193700,0.0,0
2012-01-23,22.746491040129193,23.118895924841627,22.672009779064325,23.029518127441406,35272800,0.0,0
2012-01-24,22.67945748727349,22.828418585113457,22.46346197757952,22.746490478515625,28199400,0.0,0
2012-01-25,22.582635821918725,22.649668826215105,22.314503804733196,22.49325942993164,34173600,0.0,0
2012-01-26,22.65710854773675,22.65710854773675,21.45051634622853,21.63671875,54668100,0.0,0
2012-01-27,21.510105607160124,22.158090734377545,21.428177498191964,22.046369552612305,31196200,0.0,0
2012-01-30,21.78568458557129,21.845269307100516,21.621826956518873,21.78568458557129,22814800,0.0,0
2012-01-31,21.971885379901284,21.971885379901284,21.584584008529095,21.755889892578125,31203600,0.0,0
2012-02-01,22.159745131516726,22.503771625871202,22.099914622907924,22.35419464111328,34825000,0.12,0
2012-02-02,22.42151151277541,22.511258018429082,22.20462638269354,22.36168098449707,24624600,0.0,0
2012-02-03,22.765536226463325,22.967463351060086,22.698226709440338,22.90763282775879,46264900,0.0,0
2012-02-06,22.743095056639838,22.817883553610507,22.49629401516698,22.586040496826172,23337800,0.0,0
2012-02-07,22.45142313806875,22.80292724525788,22.436465152280608,22.63091468811035,25436800,0.0,0
2012-02-08,22.660831740831902,22.907632827758786,22.53369170050762,22.90763282775879,31639700,0.0,0
2012-02-09,23.019814359296795,23.072165884446697,22.653352256775403,22.870237350463867,29693200,0.0,0
2012-02-10,22.571084171429817,22.735617735683274,22.496295668961142,22.63091468811035,20049600,0.0,0
2012-02-13,22.88519803317797,22.997380089784915,22.77301597657103,22.900156021118164,21961600,0.0,0
2012-02-14,22.683266508831395,22.83284351572678,22.451423431968397,22.75057601928711,23510000,0.0,0
2012-02-15,22.90015576204126,22.974942847951635,22.473861669402098,22.563608169555664,27140300,0.0,0
2012-02-16,22.630913052574908,22.787967612583966,22.39906999550214,22.713180541992188,26470800,0.0,0
2012-02-17,22.85527941028731,23.281572031905466,22.690745841417588,23.251657485961914,35720000,0.0,0
2012-02-21,23.289043647640746,23.535844636001176,23.042242659280316,23.1544246673584,29334500,0.0,0
2012-02-22,23.034768717544324,23.11703620718725,22.810404652209726,22.877714157104492,29074600,0.0,0
2012-02-23,22.922588348388672,22.945025327139177,22.64587274282598,22.922588348388672,23327000,0.0,0
2012-02-24,22.765534518959086,22.930068089078947,22.451423938568738,22.57108497619629,21604000,0.0,0
2012-02-27,22.473859561197088,23.281572280921193,22.428987028565775,23.206785202026367,36242500,0.0,0
2012-02-28,23.191827243305376,23.52837337814956,23.169390263726925,23.4610652923584,30734800,0.0,0
2012-02-29,23.498461557633227,23.857444713697316,23.348884529370395,23.40123748779297,33656100,0.0,0
2012-03-01,23.603163806004748,23.745261835297487,23.416193240372483,23.588207244873047,27218100,0.0,0
2012-03-02,23.662993501538825,23.722824023387677,23.34888290521432,23.393756866455078,22716500,0.0,0
2012-03-05,23.296528115324456,23.304007107817505,22.95998201196916,23.161909103393555,21920400,0.0,0
2012-03-06,22.817884646664012,22.85527818370466,22.428985584964504,22.51873207092285,29644200,0.0,0
2012-03-07,22.638394255069862,22.989898371172448,22.57108474378842,22.74309730529785,23750200,0.0,0
2012-03-08,23.07964015345037,23.550805209830557,22.967456706552046,23.483495712280273,28442300,0.0,0
2012-03-09,23.550809876658885,23.857441458940375,23.401234295274197,23.677949905395508,24042700,0.0,0
2012-03-12,23.63307488465886,23.670468419448838,23.244175846366694,23.565765380859375,23677000,0.0,0
2012-03-13,23.812572165310034,25.113888601795146,23.69291111334142,24.926918029785156,62583800,0.0,0
