,Open,High,Low,Close,Volume,Dividends,Stock Splits
,XOM,XOM,XOM,XOM,XOM,XOM,XOM
Date,,,,,,,
2012-01-03,56.44917442809877,56.908802778330134,56.40321159307564,56.4688720703125,20906800,0.0,0
2012-01-04,56.33097605236019,56.567357746545234,55.87791030357675,56.48199462890625,16130900,0.0,0
2012-01-05,56.232464680921595,56.43601357033112,55.75970144526115,56.31126022338867,17452800,0.0,0
2012-01-06,56.416341067818294,56.46887145286272,55.88448469556989,55.89105224609375,15942100,0.0,0
2012-01-09,55.812256573236475,56.23248963372792,55.792558931271756,56.14056396484375,11664200,0.0,0
2012-01-10,56.51483308862658,56.60675875571784,56.06176729398172,56.28501892089844,13080800,0.0,0
2012-01-11,55.87789906916064,56.0748854445677,55.46423369229177,55.864768981933594,14831400,0.0,0
2012-01-12,55.41170354000481,55.75970846295028,55.11622898531532,55.641517639160156,17357200,0.0,0
2012-01-13,55.260701049703385,55.75972466441582,55.037449424533634,55.73345947265625,15551600,0.0,0
2012-01-17,56.304741827938415,56.554253749209835,56.0749275570864,56.26534652709961,15627900,0.0,0
2012-01-18,56.00923277726864,56.7971683693146,55.78598118679315,56.76433563232422,16754200,0.0,0
2012-01-19,56.69209127031083,57.283045298718115,56.31782122058137,57.14515686035156,16383500,0.0,0
2012-01-20,57.17802181169178,57.44723129272461,56.94164006711121,57.44723129272461,19220300,0.0,0
2012-01-23,57.45378730047306,57.7426993768187,57.145177584298885,57.43408966064453,15348400,0.0,0
2012-01-24,57.17800713691265,57.26993279070412,56.90223017553825,57.24366760253906,12363800,0.0,0
2012-01-25,56.974459778713154,57.37499517786075,56.34411021847424,57.26993942260742,18202300,0.0,0
2012-01-26,57.54572110020875,57.59168393616845,56.803748174124124,56.974464416503906,15658200,0.0,0
2012-01-27,56.62644818136084,56.79716939957741,56.31783848251363,56.35723876953125,15976700,0.0,0
2012-01-30,55.989531396047646,56.14055497621894,55.54303321456734,56.13398742675781,17867000,0.0,0
